"","Target","ResponseId","PROLIFIC_PID","ranking_1","ranking_2","ranking_3","ranking_4","ranking_5","ranking_6","ranking_7","ranking_8","ranking_9","ranking_10","Condition","gender","age","ethnicity","education","name","Advice","url.0.URL","url.1.URL","url.2.URL","url.3.URL","url.4.URL","url.5.URL","url.6.URL","url.7.URL","url.8.URL","url.9.URL","finalRank"
"11","F_12JV7zcZsUeAkNI","R_237Cx7cW21kmbe2","62efd80e052c3a3aaae2d46f","8","4","1","10","7","6","9","2","5","3","Accurate","Male",19,"Asian","Some college, but no degree","5_advice",7,"F_12rLDBLowOuKG2d","F_1IygysIWEzMiCyp","F_1LcKk6QK4gIlwpS","F_1FnbFkmOxfv1Znv","F_12JV7zcZsUeAkNI","F_1QLxIxugpe3ReV0","F_1KlmPWco7yo9h1L","F_1QsVprSgmipnTXa","F_1N4il3f9nlInp2a","F_1EYjR4qjVDKj7mz",8
"12","F_12JV7zcZsUeAkNI","R_3MSaUDFehWAjs8D","5ba19bdfa896050001d51f18","10","2","4","1","6","5","8","9","7","3","Accurate","Male",41,"White or Caucasian","Bachelor’s degree","9_advice",7,"F_12rLDBLowOuKG2d","F_1LcKk6QK4gIlwpS","F_1KlmPWco7yo9h1L","F_1QsVprSgmipnTXa","F_1EYjR4qjVDKj7mz","F_1FnbFkmOxfv1Znv","F_1QLxIxugpe3ReV0","F_1IygysIWEzMiCyp","F_12JV7zcZsUeAkNI","F_1N4il3f9nlInp2a",8
"13","F_12rLDBLowOuKG2d","R_3kAKGWbXQ4j1hdO","6234b2b5e6b80ea7060d458a","2","6","7","1","5","8","10","9","4","3","Likable","Male",66,"White or Caucasian","Bachelor’s degree","3_advice",2,"F_1LcKk6QK4gIlwpS","F_1QLxIxugpe3ReV0","F_12rLDBLowOuKG2d","F_1N4il3f9nlInp2a","F_1EYjR4qjVDKj7mz","F_1KlmPWco7yo9h1L","F_1IygysIWEzMiCyp","F_12JV7zcZsUeAkNI","F_1FnbFkmOxfv1Znv","F_1QsVprSgmipnTXa",5
"14","F_12rLDBLowOuKG2d","R_R2j6nCMzdHryZPP","5ffd2c0699c3912436845113","2","1","6","4","8","3","9","5","7","10","Accurate","Male",28,"White or Caucasian","High school diploma or GED","9_advice",7,"F_1LcKk6QK4gIlwpS","F_1EYjR4qjVDKj7mz","F_1KlmPWco7yo9h1L","F_1QsVprSgmipnTXa","F_1FnbFkmOxfv1Znv","F_1N4il3f9nlInp2a","F_12JV7zcZsUeAkNI","F_1IygysIWEzMiCyp","F_12rLDBLowOuKG2d","F_1QLxIxugpe3ReV0",5
"15","F_12s9TGUgS0qHAq7","R_3gAUkiTF4ogh6Tv","53987712fdf99b68e3a45021","7","3","9","6","1","2","4","5","10","8","Accurate","Female",29,"Asian","Bachelor’s degree","1_advice",6,"F_12s9TGUgS0qHAq7","F_10oejnEV2ERi5HX","F_1CD74E5ONr28NNw","F_1Fb3bFSft2sboNG","F_12r0RshbNJLfE1Z","F_1CecDFT0KKP76GX","F_10YiUUKrh7JgI30","F_1IMfBA6RxONJjkS","F_1K1t4tjbmrfAK47","F_12awRKxduNjMyEk",5
"16","F_12s9TGUgS0qHAq7","R_2z6bNrPJwPwFBhN","558ffe16fdf99b3f7aada34d","8","7","9","10","2","3","6","1","5","4","Likable","Female",36,"White or Caucasian","Associates or technical degree","2_advice",6,"F_12r0RshbNJLfE1Z","F_12s9TGUgS0qHAq7","F_12awRKxduNjMyEk","F_1Fb3bFSft2sboNG","F_10oejnEV2ERi5HX","F_1CD74E5ONr28NNw","F_1K1t4tjbmrfAK47","F_1IMfBA6RxONJjkS","F_10YiUUKrh7JgI30","F_1CecDFT0KKP76GX",5
"17","F_12s9TGUgS0qHAq7","R_3LXaypkXVGe1w0l","602aec0c3306191d79d6916f","2","4","7","5","9","6","3","10","8","1","Accurate","Female",37,"Native Hawaiian or Other Pacific Islander","Bachelor’s degree","3_advice",3,"F_10oejnEV2ERi5HX","F_1K1t4tjbmrfAK47","F_12s9TGUgS0qHAq7","F_12awRKxduNjMyEk","F_1CD74E5ONr28NNw","F_10YiUUKrh7JgI30","F_12r0RshbNJLfE1Z","F_1IMfBA6RxONJjkS","F_1Fb3bFSft2sboNG","F_1CecDFT0KKP76GX",5
"18","F_12s9TGUgS0qHAq7","R_1kYYiXTqbG6WKEX","64131a17e759c39fcfbef106","1","3","4","8","2","10","9","5","6","7","Accurate","Female",29,"White or Caucasian","Some college, but no degree","10_advice",7,"F_12r0RshbNJLfE1Z","F_1K1t4tjbmrfAK47","F_12awRKxduNjMyEk","F_1IMfBA6RxONJjkS","F_1CecDFT0KKP76GX","F_1Fb3bFSft2sboNG","F_10YiUUKrh7JgI30","F_10oejnEV2ERi5HX","F_1CD74E5ONr28NNw","F_12s9TGUgS0qHAq7",5
"19","F_1CD74E5ONr28NNw","R_1Ow2RU4K8Meftl3","6387db71396bd54b2e9fcd09","8","3","6","5","7","1","9","4","2","10","Accurate","Female",72,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","5_advice",7,"F_1K1t4tjbmrfAK47","F_10oejnEV2ERi5HX","F_1IMfBA6RxONJjkS","F_10YiUUKrh7JgI30","F_1CD74E5ONr28NNw","F_1CecDFT0KKP76GX","F_12awRKxduNjMyEk","F_12s9TGUgS0qHAq7","F_12r0RshbNJLfE1Z","F_1Fb3bFSft2sboNG",7
"20","F_1CD74E5ONr28NNw","R_1OGZM7pbMHovYiy","5589480afdf99b5ccca3c1ea","3","1","4","10","2","7","6","5","9","8","Accurate","Female",32,"White or Caucasian","Bachelor’s degree","6_advice",5,"F_12s9TGUgS0qHAq7","F_10YiUUKrh7JgI30","F_12awRKxduNjMyEk","F_1Fb3bFSft2sboNG","F_12r0RshbNJLfE1Z","F_1CD74E5ONr28NNw","F_1CecDFT0KKP76GX","F_10oejnEV2ERi5HX","F_1K1t4tjbmrfAK47","F_1IMfBA6RxONJjkS",7
"21","F_1CD74E5ONr28NNw","R_SUY2BgozWRPzEml","628db0e0450fdddf958e2378","9","1","4","6","2","5","10","3","7","8","Likable","Female",28,"Other","Bachelor’s degree","9_advice",5,"F_12awRKxduNjMyEk","F_1CecDFT0KKP76GX","F_12s9TGUgS0qHAq7","F_10oejnEV2ERi5HX","F_12r0RshbNJLfE1Z","F_1K1t4tjbmrfAK47","F_1Fb3bFSft2sboNG","F_1IMfBA6RxONJjkS","F_1CD74E5ONr28NNw","F_10YiUUKrh7JgI30",7
"22","F_1CD74E5ONr28NNw","R_1IgdYIhWkqXEbjV","643d563747adde8322d5cbfc","9","4","10","5","2","6","3","1","7","8","Accurate","Female",51,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","9_advice",7,"F_12awRKxduNjMyEk","F_10oejnEV2ERi5HX","F_1Fb3bFSft2sboNG","F_12s9TGUgS0qHAq7","F_1K1t4tjbmrfAK47","F_1IMfBA6RxONJjkS","F_12r0RshbNJLfE1Z","F_1CecDFT0KKP76GX","F_1CD74E5ONr28NNw","F_10YiUUKrh7JgI30",7
"23","F_1CD74E5ONr28NNw","R_3IVRs9I3ZqAwTbH","5dd40277e08a363e4e006384","2","6","1","3","4","7","10","9","8","5","Likable","Female",42,"White or Caucasian","High school diploma or GED","6_advice",7,"F_10oejnEV2ERi5HX","F_1Fb3bFSft2sboNG","F_12r0RshbNJLfE1Z","F_1IMfBA6RxONJjkS","F_12awRKxduNjMyEk","F_1CD74E5ONr28NNw","F_10YiUUKrh7JgI30","F_1CecDFT0KKP76GX","F_1K1t4tjbmrfAK47","F_12s9TGUgS0qHAq7",7
"24","F_1CD74E5ONr28NNw","R_3pgzQXEcqsQa9Uw","62a0f7db18a72f2654996af3","6","9","4","3","5","1","10","8","2","7","Accurate","Female",41,"White or Caucasian","Some college, but no degree","10_advice",6,"F_10oejnEV2ERi5HX","F_1Fb3bFSft2sboNG","F_12s9TGUgS0qHAq7","F_1K1t4tjbmrfAK47","F_1IMfBA6RxONJjkS","F_12r0RshbNJLfE1Z","F_10YiUUKrh7JgI30","F_12awRKxduNjMyEk","F_1CecDFT0KKP76GX","F_1CD74E5ONr28NNw",7
"25","F_1CD74E5ONr28NNw","R_3qKjThzH2IrKs0V","5fc5a2371b535212264944ca","10","9","2","4","5","6","8","3","7","1","Accurate","Female",50,"White or Caucasian","Some college, but no degree","9_advice",7,"F_1Fb3bFSft2sboNG","F_12awRKxduNjMyEk","F_1CecDFT0KKP76GX","F_1IMfBA6RxONJjkS","F_1K1t4tjbmrfAK47","F_12s9TGUgS0qHAq7","F_10oejnEV2ERi5HX","F_10YiUUKrh7JgI30","F_1CD74E5ONr28NNw","F_12r0RshbNJLfE1Z",7
"26","F_1CecDFT0KKP76GX","R_plAUX1Cdjz9W7fz","60284b049e884437b220b172","10","2","3","5","6","9","8","4","1","7","Likable","Female",44,"White or Caucasian","Associates or technical degree","10_advice",6,"F_1Fb3bFSft2sboNG","F_10oejnEV2ERi5HX","F_12r0RshbNJLfE1Z","F_12s9TGUgS0qHAq7","F_12awRKxduNjMyEk","F_10YiUUKrh7JgI30","F_1CD74E5ONr28NNw","F_1IMfBA6RxONJjkS","F_1K1t4tjbmrfAK47","F_1CecDFT0KKP76GX",4
"27","F_1dFasm2Tcbncr9Y","R_ezX1Eb1yA8luiR3","61082f0997ced2e3a7007d3e","6","5","1","8","2","7","9","3","4","10","Likable","Female",20,"White or Caucasian","High school diploma or GED","6_advice",7,"F_1QbwEf4Nbyt0CrA","F_1LC3xa0eqEaRlyU","F_1NaaAojAuyPxT8k","F_1gpywMhp6rK6IUY","F_1LNbhp7By5V2P9z","F_1dFasm2Tcbncr9Y","F_1LwiPfy6dIh9SRq","F_1hGB5DuTOaOCGsE","F_1ghdLASNWhsSnP5","F_1ezR34bv5nNEhLY",8
"28","F_1dFasm2Tcbncr9Y","R_1dgVuWG27EosB49","6134e3d48d0eaa5c8fe8c25e","1","4","8","6","10","9","2","5","3","7","Likable","Female",36,"White or Caucasian","Bachelor’s degree","10_advice",5,"F_1hGB5DuTOaOCGsE","F_1LC3xa0eqEaRlyU","F_1ghdLASNWhsSnP5","F_1ezR34bv5nNEhLY","F_1QbwEf4Nbyt0CrA","F_1LNbhp7By5V2P9z","F_1LwiPfy6dIh9SRq","F_1gpywMhp6rK6IUY","F_1NaaAojAuyPxT8k","F_1dFasm2Tcbncr9Y",8
"29","F_1dFasm2Tcbncr9Y","R_2tAs5ZqUHVBlzwU","5e2b74daae56b71b9d24d89b","2","7","5","6","4","9","8","3","10","1","Likable","Female",67,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","2_advice",9,"F_1hGB5DuTOaOCGsE","F_1dFasm2Tcbncr9Y","F_1gpywMhp6rK6IUY","F_1NaaAojAuyPxT8k","F_1LwiPfy6dIh9SRq","F_1ezR34bv5nNEhLY","F_1LC3xa0eqEaRlyU","F_1ghdLASNWhsSnP5","F_1QbwEf4Nbyt0CrA","F_1LNbhp7By5V2P9z",8
"30","F_1dh5rEyzeewfHUq","R_1dsi0i93bYNCP59","5ac7ae4ca3ba7a0001b4c1b3","1","10","7","6","3","5","8","9","2","4","Likable","Male",37,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","3_advice",5,"F_1gcqHGx99dsU613","F_216tuE7djcP5pdf","F_1dh5rEyzeewfHUq","F_1l45HlWyABVMmUO","F_1mrqtqp6pXX5bRw","F_1l4RdX9meeYIQHv","F_1rcuPXlQG7SB8fx","F_22PRBS7sAKesi1e","F_1pMyxId534OOBIU","F_1cSL5Dlk3so8Qbs",6
"31","F_1dh5rEyzeewfHUq","R_27ExruBqKGOIF8U","62f690f77c6fe10beb13d7b9","2","8","7","1","5","10","3","9","6","4","Likable","Male",30,"White or Caucasian","Bachelor’s degree","3_advice",7,"F_1mrqtqp6pXX5bRw","F_22PRBS7sAKesi1e","F_1dh5rEyzeewfHUq","F_1l4RdX9meeYIQHv","F_1pMyxId534OOBIU","F_1l45HlWyABVMmUO","F_1gcqHGx99dsU613","F_1rcuPXlQG7SB8fx","F_216tuE7djcP5pdf","F_1cSL5Dlk3so8Qbs",6
"32","F_1dh5rEyzeewfHUq","R_PIOmhVgSIxq62hb","63b37db51662f3a9e9a48c42","7","1","6","9","4","2","8","3","5","10","Likable","Male",55,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","1_advice",5,"F_1dh5rEyzeewfHUq","F_1gcqHGx99dsU613","F_216tuE7djcP5pdf","F_22PRBS7sAKesi1e","F_1mrqtqp6pXX5bRw","F_1pMyxId534OOBIU","F_1l45HlWyABVMmUO","F_1cSL5Dlk3so8Qbs","F_1l4RdX9meeYIQHv","F_1rcuPXlQG7SB8fx",6
"33","F_1dh5rEyzeewfHUq","R_3maa659HkXVs478","63e52f8ab3688f45f842114c","6","3","9","2","4","7","5","10","1","8","Accurate","Male",33,"Other","Associates or technical degree","6_advice",6,"F_216tuE7djcP5pdf","F_1cSL5Dlk3so8Qbs","F_1rcuPXlQG7SB8fx","F_1pMyxId534OOBIU","F_1mrqtqp6pXX5bRw","F_1dh5rEyzeewfHUq","F_1l4RdX9meeYIQHv","F_1l45HlWyABVMmUO","F_1gcqHGx99dsU613","F_22PRBS7sAKesi1e",6
"34","F_1dh5rEyzeewfHUq","R_1FD24rk4Xa0740p","55b9a9b0fdf99b6906d2aba4","9","6","5","2","8","3","4","10","1","7","Accurate","Male",67,"White or Caucasian","Some college, but no degree","10_advice",7,"F_1l45HlWyABVMmUO","F_1cSL5Dlk3so8Qbs","F_1rcuPXlQG7SB8fx","F_1pMyxId534OOBIU","F_22PRBS7sAKesi1e","F_1mrqtqp6pXX5bRw","F_1gcqHGx99dsU613","F_216tuE7djcP5pdf","F_1l4RdX9meeYIQHv","F_1dh5rEyzeewfHUq",6
"35","F_1ezR34bv5nNEhLY","R_2ZCbF6mdYtYj97v","60bc38931b526e2f38268207","1","6","4","10","2","7","9","8","3","5","Accurate","Female",25,"Asian","Bachelor’s degree","6_advice",7,"F_1LNbhp7By5V2P9z","F_1NaaAojAuyPxT8k","F_1LC3xa0eqEaRlyU","F_1QbwEf4Nbyt0CrA","F_1ghdLASNWhsSnP5","F_1ezR34bv5nNEhLY","F_1dFasm2Tcbncr9Y","F_1gpywMhp6rK6IUY","F_1hGB5DuTOaOCGsE","F_1LwiPfy6dIh9SRq",7
"36","F_1ezR34bv5nNEhLY","R_2722c5mGrF0whQu","636eef4c2fa8b09cc41bba0e","8","9","3","6","4","7","2","10","5","1","Likable","Female",48,"White or Caucasian","Bachelor’s degree","6_advice",3,"F_1LC3xa0eqEaRlyU","F_1QbwEf4Nbyt0CrA","F_1LNbhp7By5V2P9z","F_1LwiPfy6dIh9SRq","F_1ghdLASNWhsSnP5","F_1ezR34bv5nNEhLY","F_1hGB5DuTOaOCGsE","F_1dFasm2Tcbncr9Y","F_1gpywMhp6rK6IUY","F_1NaaAojAuyPxT8k",7
"37","F_1ezR34bv5nNEhLY","R_273CbSgMmAbgwfU","5d63179aa3b94d0001da4bb6","5","9","7","8","2","10","6","1","4","3","Likable","Female",59,"White or Caucasian","Associates or technical degree","3_advice",4,"F_1LwiPfy6dIh9SRq","F_1gpywMhp6rK6IUY","F_1ezR34bv5nNEhLY","F_1QbwEf4Nbyt0CrA","F_1NaaAojAuyPxT8k","F_1dFasm2Tcbncr9Y","F_1hGB5DuTOaOCGsE","F_1LNbhp7By5V2P9z","F_1LC3xa0eqEaRlyU","F_1ghdLASNWhsSnP5",7
"38","F_1FnbFkmOxfv1Znv","R_2Y3XGdpv3MLTbsm","6413665e5dec6a98797ef5ab","5","3","2","8","1","9","4","6","10","7","Likable","Male",18,"White or Caucasian","High school diploma or GED","10_advice",1,"F_1IygysIWEzMiCyp","F_1QsVprSgmipnTXa","F_12rLDBLowOuKG2d","F_12JV7zcZsUeAkNI","F_1EYjR4qjVDKj7mz","F_1KlmPWco7yo9h1L","F_1LcKk6QK4gIlwpS","F_1N4il3f9nlInp2a","F_1QLxIxugpe3ReV0","F_1FnbFkmOxfv1Znv",6
"39","F_1FnbFkmOxfv1Znv","R_1Du2tXzLUWB3MAm","5c3eb901ef1d0d0001b2ab29","6","7","5","3","1","2","4","9","10","8","Accurate","Male",39,"Asian","Bachelor’s degree","2_advice",8,"F_1KlmPWco7yo9h1L","F_1FnbFkmOxfv1Znv","F_1EYjR4qjVDKj7mz","F_1N4il3f9nlInp2a","F_1QsVprSgmipnTXa","F_1LcKk6QK4gIlwpS","F_12rLDBLowOuKG2d","F_12JV7zcZsUeAkNI","F_1QLxIxugpe3ReV0","F_1IygysIWEzMiCyp",6
"40","F_1FnbFkmOxfv1Znv","R_28SsSkrW7au0f6D","5ac440da9534ba0001c736da","7","10","8","1","9","2","3","5","4","6","Accurate","Male",41,"White or Caucasian","Associates or technical degree","1_advice",5,"F_1FnbFkmOxfv1Znv","F_1QLxIxugpe3ReV0","F_1KlmPWco7yo9h1L","F_1LcKk6QK4gIlwpS","F_12JV7zcZsUeAkNI","F_1EYjR4qjVDKj7mz","F_1QsVprSgmipnTXa","F_1N4il3f9nlInp2a","F_12rLDBLowOuKG2d","F_1IygysIWEzMiCyp",6
"41","F_1FnbFkmOxfv1Znv","R_YQfUq79n4rG5d73","5a7d01a4b093f80001a79252","1","3","8","10","2","4","5","7","6","9","Likable","Male",20,"Asian","Some college, but no degree","8_advice",7,"F_1N4il3f9nlInp2a","F_1QsVprSgmipnTXa","F_1IygysIWEzMiCyp","F_1QLxIxugpe3ReV0","F_1LcKk6QK4gIlwpS","F_12rLDBLowOuKG2d","F_1KlmPWco7yo9h1L","F_1FnbFkmOxfv1Znv","F_1EYjR4qjVDKj7mz","F_12JV7zcZsUeAkNI",6
"42","F_1FnbFkmOxfv1Znv","R_25Yrq755tobrwee","63d8032fd2b4f1648f8ca4db","9","2","10","5","6","3","4","1","7","8","Likable","Male",20,"White or Caucasian","High school diploma or GED","9_advice",5,"F_1KlmPWco7yo9h1L","F_1N4il3f9nlInp2a","F_1QLxIxugpe3ReV0","F_12rLDBLowOuKG2d","F_1IygysIWEzMiCyp","F_1EYjR4qjVDKj7mz","F_1QsVprSgmipnTXa","F_1LcKk6QK4gIlwpS","F_1FnbFkmOxfv1Znv","F_12JV7zcZsUeAkNI",6
"43","F_1FnbFkmOxfv1Znv","R_3NVnwNmXrTpSNep","5e83b43765a5720e30b71b37","2","8","5","9","1","4","6","3","10","7","Accurate","Male",22,"White or Caucasian","Bachelor’s degree","10_advice",7,"F_1QsVprSgmipnTXa","F_12JV7zcZsUeAkNI","F_1EYjR4qjVDKj7mz","F_1QLxIxugpe3ReV0","F_1LcKk6QK4gIlwpS","F_12rLDBLowOuKG2d","F_1KlmPWco7yo9h1L","F_1N4il3f9nlInp2a","F_1IygysIWEzMiCyp","F_1FnbFkmOxfv1Znv",6
"44","F_1ghdLASNWhsSnP5","R_2R3uqpLwrOAsxrV","5eb9af967fbf4b0d17bbe946","9","4","5","3","2","7","10","1","8","6","Accurate","Female",32,"White or Caucasian","Some college, but no degree","6_advice",6,"F_1QbwEf4Nbyt0CrA","F_1gpywMhp6rK6IUY","F_1LwiPfy6dIh9SRq","F_1ezR34bv5nNEhLY","F_1NaaAojAuyPxT8k","F_1ghdLASNWhsSnP5","F_1dFasm2Tcbncr9Y","F_1hGB5DuTOaOCGsE","F_1LNbhp7By5V2P9z","F_1LC3xa0eqEaRlyU",5
"45","F_1ghdLASNWhsSnP5","R_2ePVKshuUR1PDr8","5dad33e617ce000016de39fa","6","8","2","3","9","7","5","10","1","4","Accurate","Female",26,"White or Caucasian","Bachelor’s degree","6_advice",7,"F_1NaaAojAuyPxT8k","F_1LNbhp7By5V2P9z","F_1LC3xa0eqEaRlyU","F_1gpywMhp6rK6IUY","F_1ezR34bv5nNEhLY","F_1ghdLASNWhsSnP5","F_1dFasm2Tcbncr9Y","F_1QbwEf4Nbyt0CrA","F_1LwiPfy6dIh9SRq","F_1hGB5DuTOaOCGsE",5
"46","F_1ghdLASNWhsSnP5","R_3CNNY0QxFUIm5ts","58d552e09dbe3f00012591f2","5","8","7","6","2","10","9","3","4","1","Accurate","Female",46,"White or Caucasian","High school diploma or GED","3_advice",7,"F_1NaaAojAuyPxT8k","F_1QbwEf4Nbyt0CrA","F_1ghdLASNWhsSnP5","F_1LwiPfy6dIh9SRq","F_1LC3xa0eqEaRlyU","F_1dFasm2Tcbncr9Y","F_1gpywMhp6rK6IUY","F_1hGB5DuTOaOCGsE","F_1ezR34bv5nNEhLY","F_1LNbhp7By5V2P9z",5
"47","F_1gpywMhp6rK6IUY","R_1GPHihPpkPA2gTA","5d88f010859c9e0001810e88","3","1","4","6","7","2","5","10","9","8","Accurate","Female",49,"White or Caucasian","Bachelor’s degree","5_advice",7,"F_1hGB5DuTOaOCGsE","F_1LwiPfy6dIh9SRq","F_1ezR34bv5nNEhLY","F_1LC3xa0eqEaRlyU","F_1gpywMhp6rK6IUY","F_1NaaAojAuyPxT8k","F_1ghdLASNWhsSnP5","F_1QbwEf4Nbyt0CrA","F_1dFasm2Tcbncr9Y","F_1LNbhp7By5V2P9z",7
"48","F_1gpywMhp6rK6IUY","R_1rdZeokIEMdDq2e","5e05ab290db892fcd8036b1a","9","7","8","2","3","4","10","1","6","5","Accurate","Female",50,"White or Caucasian","Bachelor’s degree","2_advice",7,"F_1QbwEf4Nbyt0CrA","F_1gpywMhp6rK6IUY","F_1LC3xa0eqEaRlyU","F_1hGB5DuTOaOCGsE","F_1NaaAojAuyPxT8k","F_1LNbhp7By5V2P9z","F_1dFasm2Tcbncr9Y","F_1LwiPfy6dIh9SRq","F_1ezR34bv5nNEhLY","F_1ghdLASNWhsSnP5",7
