"","Target","Advice","Performance","Guess","Gender","Treatment","Condition","GiverID","ExpectedBonus"
"23","63c9fd72104f2f9bdc6b1fcc",0,1,4,"Male","High","None","656ea0f63ef227eed82fc9a7",0.12
"24","5d5daa0457be9400014544ab",0,4,3,"Female","Low","None","656ea0f63ef227eed82fc9a7",0.3
"25","609449f609ad18c98dba5787",1,5,2,"Female","Low","None","656ea0f63ef227eed82fc9a7",0.15
"26","656766dc27c035c9ac54f90d",0,3,3,"Female","High","None","656ea0f63ef227eed82fc9a7",0.3
"27","62dc65fdd3bbfeff289f1500",0,3,4,"Male","High","None","656ea0f63ef227eed82fc9a7",0.3
"28","5a8f13595292b80001235e09",0,4,4,"Male","Low","None","656ea0f63ef227eed82fc9a7",0.3
"29","651c2cc23704dc10500ae77c",1,5,2,"Female","High","None","656ea0f63ef227eed82fc9a7",0.15
"30","62b6611f74e3b822f99b90f0",1,5,4,"Male","High","None","656ea0f63ef227eed82fc9a7",0.15
"31","56f29effed0cf60006911528",1,7,7,"Male","High","E","5b26ed8a8ecf3f0001619040",0.3
"32","5eceed79840590300f53fa51",0,1,5,"Male","High","E","5b26ed8a8ecf3f0001619040",0.12
"33","6103664b32254e61282aaf0f",1,7,8,"Female","Low","E","5b26ed8a8ecf3f0001619040",0.3
"34","6400d98030c52020eabfd538",0,1,1,"Female","Low","E","5b26ed8a8ecf3f0001619040",0.12
"35","60d3740f31606cb50e49f00c",1,8,1,"Male","Low","E","5b26ed8a8ecf3f0001619040",0.35
"36","63ea4471a837335f74ef0f68",0,6,6,"Male","High","E","5b26ed8a8ecf3f0001619040",0.3
"37","5dfd077e3690bd03bfa91d48",1,7,3,"Male","Low","E","5b26ed8a8ecf3f0001619040",0.3
"38","651ebcca48c60acc82f1f2bd",1,8,5,"Female","Low","E","5b26ed8a8ecf3f0001619040",0.35
"39","5fbafd1b299177bdcc7aa4ac",1,7,6,"Female","High","E","5b26ed8a8ecf3f0001619040",0.3
"40","654e434ae05e35d574cecf05",0,6,5,"Female","High","E","5b26ed8a8ecf3f0001619040",0.3
"41","5f57c697f9f7d02d07909dbb",0,5,3,"Female","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"42","62dd47968d609bcb40a8f5ee",0,5,5,"Female","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"43","5de84ccaeddfc97c4eed1f5d",0,5,4,"Male","High","E","632e4ac3a1ed32e0c597aa9d",0.3
"44","5ee1be444c9d75206ce5aa92",0,5,5,"Male","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"45","63d13e2a6dd3ec4a5f6bff7b",0,5,7,"Male","High","E","632e4ac3a1ed32e0c597aa9d",0.3
"46","6527336a10697bd2ce775a8e",0,6,4,"Male","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"47","610a81561cb8c17ebce209b3",1,8,5,"Male","Low","E","632e4ac3a1ed32e0c597aa9d",0.35
"48","5f78ce64cb5f144a98a4fa38",0,5,1,"Female","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"49","6535874da4c41c6b75cd8645",1,8,5,"Female","Low","E","632e4ac3a1ed32e0c597aa9d",0.35
"50","63ea6fc5092518554c9b8111",0,6,6,"Female","Low","E","632e4ac3a1ed32e0c597aa9d",0.3
"51","653fb726d2b45b03e76d0c42",0,7,5,"Female","Low","None","63edb6401c8f280841255a82",0.3
"52","629e2781136f152f6592f171",0,7,8,"Male","High","None","63edb6401c8f280841255a82",0.3
"53","5fd0ebb69497b30008547502",0,0,3,"Female","Low","None","63edb6401c8f280841255a82",0.015
"54","5ba86de49629a90001b3ef5f",0,7,3,"Female","High","None","63edb6401c8f280841255a82",0.3
"55","63c5c3192e709e19fc67d5dd",0,1,0,"Male","Low","None","63edb6401c8f280841255a82",0.12
"56","62ed458d61ebd1930833e95a",0,2,2,"Male","High","None","63edb6401c8f280841255a82",0.165
"57","656330bce859fe9d4d59f7cd",0,0,2,"Male","High","None","63edb6401c8f280841255a82",0.015
"58","5d82be0cf45ead000150f026",0,1,2,"Female","High","None","63edb6401c8f280841255a82",0.12
"59","656907a16ea276f3fef47618",0,2,3,"Female","Low","None","63edb6401c8f280841255a82",0.165
"60","559c3e07fdf99b32b55f2d8d",0,7,7,"Male","Low","None","63edb6401c8f280841255a82",0.3
"61","64559feafbddb5f11010b973",0,2,2,"Male","High","E","651ab8cd3ecbad9f2062ab57",0.165
"62","6286e40c379938abc16e254b",1,6,3,"Male","Low","E","651ab8cd3ecbad9f2062ab57",0.25
"63","64d5323f567c88a7df95b47a",0,4,3,"Male","High","E","651ab8cd3ecbad9f2062ab57",0.3
"64","61003158268e33dbe5e03efe",0,6,6,"Female","Low","E","651ab8cd3ecbad9f2062ab57",0.3
"65","5ace650a436f550001004f87",0,4,6,"Female","High","E","651ab8cd3ecbad9f2062ab57",0.3
"66","5bfd83b1a6d6a0000158ecd5",0,3,4,"Female","Low","E","651ab8cd3ecbad9f2062ab57",0.3
"67","6489db7cf28c81a0fe36111f",0,2,3,"Female","Low","E","651ab8cd3ecbad9f2062ab57",0.165
"68","61283769a39dd638c256540c",0,3,4,"Male","Low","E","651ab8cd3ecbad9f2062ab57",0.3
"69","654e801d14df9acd084196c2",1,6,6,"Female","High","E","651ab8cd3ecbad9f2062ab57",0.25
"70","64d63b117d0fcfc1cd8d6934",1,6,6,"Male","Low","E","651ab8cd3ecbad9f2062ab57",0.25
"71","594425f07ccfd00001d3f462",0,4,3,"Male","Low","None","58578946c41fd90001434680",0.3
"72","64d78f0b32711ec68958c832",0,4,2,"Male","Low","None","58578946c41fd90001434680",0.3
"73","6569f75e1535619c755d8c2b",0,3,3,"Female","Low","None","58578946c41fd90001434680",0.3
"74","63d86d675509ff61463bddcd",0,4,2,"Female","High","None","58578946c41fd90001434680",0.3
"75","6563f79828c4121b6401e2e0",0,4,4,"Female","Low","None","58578946c41fd90001434680",0.3
"76","653555db179dc4e859ef43fb",0,4,3,"Female","Low","None","58578946c41fd90001434680",0.3
"77","63d000d62878aa92b833c5fc",1,6,7,"Female","High","None","58578946c41fd90001434680",0.25
"78","63483c4522d65d46028da7a7",0,4,7,"Male","High","None","58578946c41fd90001434680",0.3
"79","5aba561de1099600016a1041",1,6,3,"Male","High","None","58578946c41fd90001434680",0.25
"80","655ca373c2a312979a9450fd",0,3,5,"Male","High","None","58578946c41fd90001434680",0.3
"81","643ab9c7dbf92589bedc45f6",1,8,6,"Female","Low","E","5eebe4e6e61002183aec9b70",0.35
"82","5d1d3f10d5669200017b4e46",0,3,4,"Female","High","E","5eebe4e6e61002183aec9b70",0.3
"83","650b6c4babc7aa25099a457d",0,3,4,"Male","Low","E","5eebe4e6e61002183aec9b70",0.3
"84","60b98567e2d17c3d44747f61",0,2,3,"Female","High","E","5eebe4e6e61002183aec9b70",0.165
"85","62a15df1dd6fa394ea04f063",1,8,7,"Male","Low","E","5eebe4e6e61002183aec9b70",0.35
"86","5d8934dc4c680f00181616f8",0,2,2,"Female","Low","E","5eebe4e6e61002183aec9b70",0.165
"87","60e2492cefd43293dfa7d74a",0,5,4,"Male","High","E","5eebe4e6e61002183aec9b70",0.3
"88","62ed458d61ebd1930833e95a",0,2,2,"Male","High","E","5eebe4e6e61002183aec9b70",0.165
"89","5dced6a2e2dcbd02eeff753f",0,5,1,"Female","Low","E","5eebe4e6e61002183aec9b70",0.3
"90","5623f6afed6e5a000bc7f219",0,2,2,"Male","Low","E","5eebe4e6e61002183aec9b70",0.165
"91","5d3a2d1da46f450019cdf5d3",0,2,0,"Male","High","None","65410947105f67b4d452008e",0.165
"92","6561435b409147a77be889dd",0,2,0,"Female","Low","None","65410947105f67b4d452008e",0.165
"93","6400f14b24ac2b910c9f2d93",0,3,3,"Male","High","None","65410947105f67b4d452008e",0.3
"94","5c38aadf1d1d1f000197c0a8",0,3,5,"Female","High","None","65410947105f67b4d452008e",0.3
"95","63f779f8e3d660cb75774fe8",0,2,4,"Male","High","None","65410947105f67b4d452008e",0.165
"96","5f5118e954b2e12ef9c52231",0,4,2,"Female","Low","None","65410947105f67b4d452008e",0.3
"97","5d8a64630ffb9c001746ca2c",0,1,2,"Male","Low","None","65410947105f67b4d452008e",0.12
"98","6476b68d90c09af88f39e1a5",0,1,3,"Female","High","None","65410947105f67b4d452008e",0.12
"99","62ceba5fdab49dfc90278cbb",0,2,5,"Female","High","None","65410947105f67b4d452008e",0.165
"100","636548d16d8486ac6e2c9332",0,4,6,"Male","High","None","65410947105f67b4d452008e",0.3
"101","6112c911a83cc494df38b468",0,5,2,"Female","Low","E","63e5479f65b4fd95db6a9cd8",0.3
"102","6107acfe97c63575a2344e36",0,1,0,"Female","High","E","63e5479f65b4fd95db6a9cd8",0.12
"103","61155a7ed7bb8ba7da579301",1,5,5,"Female","High","E","63e5479f65b4fd95db6a9cd8",0.15
"104","63fcf26a814570a76bcf2237",1,8,2,"Male","Low","E","63e5479f65b4fd95db6a9cd8",0.35
"105","63a49d5bb18f18863fe82dae",0,0,2,"Female","High","E","63e5479f65b4fd95db6a9cd8",0.015
"106","65382bd75cef4070421e08e3",1,5,6,"Male","Low","E","63e5479f65b4fd95db6a9cd8",0.15
"107","655f9ce6ddf0c9decedc6297",1,8,6,"Female","Low","E","63e5479f65b4fd95db6a9cd8",0.35
"108","6523d77974cdfbc583035c7c",1,5,5,"Male","High","E","63e5479f65b4fd95db6a9cd8",0.15
"109","5f6e2f793c9b1032dbe72def",0,0,4,"Male","Low","E","63e5479f65b4fd95db6a9cd8",0.015
"110","5c1980c24a03080001139d5a",0,1,2,"Male","Low","E","63e5479f65b4fd95db6a9cd8",0.12
"111","64d5323f567c88a7df95b47a",0,4,3,"Male","High","E","654e3d64d2cecbb0572af9d7",0.3
"112","6286e40c379938abc16e254b",0,6,3,"Male","Low","E","654e3d64d2cecbb0572af9d7",0.3
"113","5ace650a436f550001004f87",0,4,6,"Female","High","E","654e3d64d2cecbb0572af9d7",0.3
"114","64559feafbddb5f11010b973",0,2,2,"Male","High","E","654e3d64d2cecbb0572af9d7",0.165
"115","5bfd83b1a6d6a0000158ecd5",0,3,4,"Female","Low","E","654e3d64d2cecbb0572af9d7",0.3
"116","64d63b117d0fcfc1cd8d6934",1,6,6,"Male","Low","E","654e3d64d2cecbb0572af9d7",0.25
"117","61003158268e33dbe5e03efe",1,6,6,"Female","Low","E","654e3d64d2cecbb0572af9d7",0.25
"118","6489db7cf28c81a0fe36111f",0,2,3,"Female","Low","E","654e3d64d2cecbb0572af9d7",0.165
"119","61283769a39dd638c256540c",0,3,4,"Male","Low","E","654e3d64d2cecbb0572af9d7",0.3
"120","654e801d14df9acd084196c2",1,6,6,"Female","High","E","654e3d64d2cecbb0572af9d7",0.25
"121","6266e63b82fa38e800e33a24",0,4,5,"Male","Low","None","583b16903d6baa00011999aa",0.3
"122","638f8a0121203e0ddbf80e02",0,1,4,"Female","High","None","583b16903d6baa00011999aa",0.12
"123","6045a06a5ea7976e20f82c1f",1,7,9,"Male","Low","None","583b16903d6baa00011999aa",0.3
"124","6562c873c8002ad2e44b7b33",0,4,5,"Male","High","None","583b16903d6baa00011999aa",0.3
"125","65304dd0cfbead1c3e3174b1",0,6,4,"Male","High","None","583b16903d6baa00011999aa",0.3
"126","64a0240af7461068d2e1e1c0",0,4,2,"Female","Low","None","583b16903d6baa00011999aa",0.3
"127","6567644b0a4a14cbeaac5a79",0,1,5,"Male","High","None","583b16903d6baa00011999aa",0.12
"128","6106f21752ad2407a4d8b74c",1,7,7,"Female","Low","None","583b16903d6baa00011999aa",0.3
"129","5eae0bd65d29984c458e6b50",0,6,2,"Female","Low","None","583b16903d6baa00011999aa",0.3
"130","60fe3ebe79bcffa30c2aef75",0,4,3,"Female","High","None","583b16903d6baa00011999aa",0.3
"131","653efdb0f60588dbb6c205cf",0,0,5,"Male","High","E","5f4153c1ec3a660ca3fc96ac",0.015
"132","656907a16ea276f3fef47618",0,2,3,"Female","Low","E","5f4153c1ec3a660ca3fc96ac",0.165
"133","652d5dcfbf51f8f449531f8d",0,2,2,"Male","High","E","5f4153c1ec3a660ca3fc96ac",0.165
"134","63ecff07b619306f41db42fa",1,5,3,"Male","Low","E","5f4153c1ec3a660ca3fc96ac",0.15
"135","65384d4f1c35096f3f32e972",0,0,0,"Female","High","E","5f4153c1ec3a660ca3fc96ac",0.015
"136","654057a9a3cec121cea7c99b",0,2,4,"Female","High","E","5f4153c1ec3a660ca3fc96ac",0.165
"137","6525f93eaf7f8fa31d6473a3",0,2,2,"Male","Low","E","5f4153c1ec3a660ca3fc96ac",0.165
"138","650781823395fb5b973731f9",1,5,2,"Female","Low","E","5f4153c1ec3a660ca3fc96ac",0.15
"139","61356a75a26f82d5cf223390",1,7,3,"Female","High","E","5f4153c1ec3a660ca3fc96ac",0.3
"140","630cc9747cb664e8a03c29f0",1,7,5,"Male","High","E","5f4153c1ec3a660ca3fc96ac",0.3
"141","606a3cf263a18869ac8ee0ed",0,5,7,"Female","High","None","63386e75b02c4d7013c1198b",0.3
"142","60171c9b1a726593103182b3",0,5,6,"Male","Low","None","63386e75b02c4d7013c1198b",0.3
"143","64626c991bcb3a8bbd2880d8",1,7,8,"Male","Low","None","63386e75b02c4d7013c1198b",0.3
"144","652940613511888d1ad5c864",0,1,2,"Female","Low","None","63386e75b02c4d7013c1198b",0.12
"145","5deb341d35575a2547b1f85a",0,3,3,"Female","High","None","63386e75b02c4d7013c1198b",0.3
"146","644e80f65a5c0e0d2f9a433b",0,3,5,"Male","High","None","63386e75b02c4d7013c1198b",0.3
"147","5d30790f326b0f0017a2a828",0,1,2,"Male","Low","None","63386e75b02c4d7013c1198b",0.12
"148","63d13b44f511eff0aef876f2",1,6,5,"Male","Low","None","63386e75b02c4d7013c1198b",0.25
"149","65086c7f03eb48d5537d2e17",1,6,3,"Female","Low","None","63386e75b02c4d7013c1198b",0.25
"150","655b6d4f57ae1636c0b4f647",1,7,8,"Female","High","None","63386e75b02c4d7013c1198b",0.3
"151","648343299ec8050d10aee27d",0,4,2,"Female","Low","None","655a9262b721bc008ddc8e8c",0.3
"152","6567492900b32685a1ca02ae",1,6,2,"Female","Low","None","655a9262b721bc008ddc8e8c",0.25
"153","5f78ce64cb5f144a98a4fa38",1,5,1,"Female","Low","None","655a9262b721bc008ddc8e8c",0.15
"154","650b0eb2e8c0266da78521fb",0,8,8,"Female","High","None","655a9262b721bc008ddc8e8c",0.3
"155","5c022a94d183df000141f1e2",1,4,3,"Male","High","None","655a9262b721bc008ddc8e8c",0
"156","655f914a12d38751dfa90257",1,6,6,"Female","High","None","655a9262b721bc008ddc8e8c",0.25
"157","566a3e0e7da0350012b3ec49",0,6,5,"Male","High","None","655a9262b721bc008ddc8e8c",0.3
"158","5c59e6519dd64d00018adaa8",1,8,4,"Male","Low","None","655a9262b721bc008ddc8e8c",0.35
"159","654b9e50dc38506c10831a0b",0,6,7,"Male","High","None","655a9262b721bc008ddc8e8c",0.3
"160","6523d77974cdfbc583035c7c",0,5,5,"Male","High","None","655a9262b721bc008ddc8e8c",0.3
"161","656766dc27c035c9ac54f90d",1,3,3,"Female","High","E","655cd34e87b547ec99051633",0
"162","6334d869011b16ac13de3546",0,1,5,"Male","High","E","655cd34e87b547ec99051633",0.12
"163","62da97c1d0ea5d209bdef664",1,9,7,"Female","High","E","655cd34e87b547ec99051633",0.475
"164","6463e382425ee2c5d0a1b2c9",0,3,6,"Male","High","E","655cd34e87b547ec99051633",0.3
"165","62ceba5fdab49dfc90278cbb",0,2,5,"Female","High","E","655cd34e87b547ec99051633",0.165
"166","604eb32b7405f25e90f5acce",1,9,8,"Male","High","E","655cd34e87b547ec99051633",0.475
"167","5c2019f5cc850a0001b329e8",1,2,4,"Male","High","E","655cd34e87b547ec99051633",0
"168","65546aa7c0658d91981170f1",1,5,5,"Female","High","E","655cd34e87b547ec99051633",0.15
"169","5484d361fdf99b0379939d5b",1,5,6,"Male","Low","E","655cd34e87b547ec99051633",0.15
"170","64509bfcd8d8b7e61f801e95",0,1,3,"Female","Low","E","655cd34e87b547ec99051633",0.12
"171","5fea37d652b0e25493cd4802",0,4,2,"Female","High","None","5f7b79a3e087e414513eb8c9",0.3
"172","65620016f391ccff5712a048",0,3,5,"Male","High","None","5f7b79a3e087e414513eb8c9",0.3
"173","5df967d2f6191f6e87b236e6",1,7,8,"Male","Low","None","5f7b79a3e087e414513eb8c9",0.3
"174","614e1a28a1851394f80ede61",0,3,6,"Male","High","None","5f7b79a3e087e414513eb8c9",0.3
"175","6518cf249463264599a7918d",0,3,2,"Female","Low","None","5f7b79a3e087e414513eb8c9",0.3
"176","652423321917b76cf71dfbbd",0,5,3,"Female","High","None","5f7b79a3e087e414513eb8c9",0.3
"177","6168d307d622b1f522956be7",0,5,6,"Male","Low","None","5f7b79a3e087e414513eb8c9",0.3
"178","5e121701dc79bd8a1a22ca99",0,3,4,"Female","Low","None","5f7b79a3e087e414513eb8c9",0.3
"179","5c3c7913b4f22c0001a0809c",0,4,5,"Male","High","None","5f7b79a3e087e414513eb8c9",0.3
"180","5f117601aeef1d5095578b01",1,7,4,"Female","Low","None","5f7b79a3e087e414513eb8c9",0.3
"181","642cfa28b81ed7ff33adcc9f",0,4,6,"Male","Low","E","546f8a9cfdf99b4a593414ea",0.3
"182","6111a61a1f00387413cc1321",0,4,2,"Female","Low","E","546f8a9cfdf99b4a593414ea",0.3
"183","654a86d08714f739c9fcea21",0,5,3,"Female","Low","E","546f8a9cfdf99b4a593414ea",0.3
"184","65654d89443092badedb7c03",0,4,4,"Female","High","E","546f8a9cfdf99b4a593414ea",0.3
"185","64413c375a0ded04a4e99a3f",0,4,5,"Male","Low","E","546f8a9cfdf99b4a593414ea",0.3
"186","652be630d5ccaffb4fa0922b",0,5,4,"Male","High","E","546f8a9cfdf99b4a593414ea",0.3
"187","60933bb6e47eb28c880b93d9",0,4,5,"Female","High","E","546f8a9cfdf99b4a593414ea",0.3
"188","5d012930cfeb82001817c9c9",1,10,6,"Female","High","E","546f8a9cfdf99b4a593414ea",0.5
"189","5ec403bb09d0e02a060bd5e6",1,10,9,"Male","Low","E","546f8a9cfdf99b4a593414ea",0.5
"190","5f4966420471864c5533666f",0,4,5,"Male","Low","E","546f8a9cfdf99b4a593414ea",0.3
"191","601b28841ca7bb2f8edaa293",1,8,8,"Male","High","None","5a8e6117b093f80001a83119",0.35
"192","610a81561cb8c17ebce209b3",1,8,5,"Male","Low","None","5a8e6117b093f80001a83119",0.35
"193","5d29cc8869a747001acdb3c1",0,7,5,"Female","High","None","5a8e6117b093f80001a83119",0.3
"194","64da2707c3e6642220490de0",0,1,2,"Male","High","None","5a8e6117b093f80001a83119",0.12
"195","5b72d1b972a6fc0001b2abc2",0,7,3,"Male","Low","None","5a8e6117b093f80001a83119",0.3
"196","5f6e50b66df91337616891fe",0,5,2,"Female","High","None","5a8e6117b093f80001a83119",0.3
"197","653822a7bb1fae9976bb28a1",0,1,6,"Female","Low","None","5a8e6117b093f80001a83119",0.12
"198","63d6873b65a6170d64a652f6",0,5,5,"Male","High","None","5a8e6117b093f80001a83119",0.3
"199","60fdf01326f76cc0c5be3d2f",1,8,10,"Female","High","None","5a8e6117b093f80001a83119",0.35
"200","6466a87b80cdf3d7f07c1e96",1,8,7,"Female","High","None","5a8e6117b093f80001a83119",0.35
"201","5d1283351716480017019be7",0,6,5,"Female","Low","None","5ede22703409e1042973a050",0.3
"202","6287d1278f5285de4c237d50",0,4,3,"Male","Low","None","5ede22703409e1042973a050",0.3
"203","63ea4471a837335f74ef0f68",0,6,6,"Male","High","None","5ede22703409e1042973a050",0.3
"204","652c821a3d99a68b56fe9bcb",0,5,5,"Male","High","None","5ede22703409e1042973a050",0.3
"205","63dac3039dddeaa909a790fb",0,5,3,"Female","Low","None","5ede22703409e1042973a050",0.3
"206","6068bf5914131f3a1a80a413",0,5,3,"Male","Low","None","5ede22703409e1042973a050",0.3
"207","5b9efb73d1ff7a00013bfe84",0,5,2,"Female","High","None","5ede22703409e1042973a050",0.3
"208","65640c5907bb3c72f8a7609f",0,6,6,"Female","High","None","5ede22703409e1042973a050",0.3
"209","651c1abbc73b6eea8fa97193",0,4,3,"Female","Low","None","5ede22703409e1042973a050",0.3
"210","628bb39061393e64b1907bbb",0,6,3,"Male","High","None","5ede22703409e1042973a050",0.3
"211","6557bcf605279f9c3e10c6cf",0,4,2,"Female","Low","None","6095ed23bec8c0d7681c5d28",0.3
"212","654cf6acd3de98547781695c",0,4,6,"Male","Low","None","6095ed23bec8c0d7681c5d28",0.3
"213","652d5fbe9b9bfde1040a8c4d",0,2,1,"Female","High","None","6095ed23bec8c0d7681c5d28",0.165
"214","6562fbd1f6b4756ac64c4dbd",0,2,7,"Male","Low","None","6095ed23bec8c0d7681c5d28",0.165
"215","650065e0f3202d7bba91e031",0,5,3,"Male","Low","None","6095ed23bec8c0d7681c5d28",0.3
"216","652d90890703a9b33b854bb3",0,3,3,"Male","Low","None","6095ed23bec8c0d7681c5d28",0.3
"217","6567ad4ffa20e5d5b9ce2944",0,4,4,"Male","Low","None","6095ed23bec8c0d7681c5d28",0.3
"218","6276d97e209059496d37bf74",0,3,4,"Female","High","None","6095ed23bec8c0d7681c5d28",0.3
"219","648343299ec8050d10aee27d",0,4,2,"Female","Low","None","6095ed23bec8c0d7681c5d28",0.3
"220","6428cf95700357ed9473c9a8",0,5,0,"Female","High","None","6095ed23bec8c0d7681c5d28",0.3
"221","60a2dd0e1d378ad4d982dae3",1,2,2,"Male","High","None","655cc33b307944ee1ba8cddc",0
"222","656330bce859fe9d4d59f7cd",0,0,2,"Male","High","None","655cc33b307944ee1ba8cddc",0.015
"223","608437f0b139060610c9f0c1",0,5,4,"Female","High","None","655cc33b307944ee1ba8cddc",0.3
"224","64a5e28179aa71f8f7d29e69",0,2,3,"Female","Low","None","655cc33b307944ee1ba8cddc",0.165
"225","5fd0ebb69497b30008547502",0,0,3,"Female","Low","None","655cc33b307944ee1ba8cddc",0.015
"226","656b41bec018aca657ed8254",0,3,3,"Male","Low","None","655cc33b307944ee1ba8cddc",0.3
"227","616da8d2898bf561b8c61a05",1,7,4,"Male","Low","None","655cc33b307944ee1ba8cddc",0.3
"228","64776e3beba1085215214ec0",0,3,3,"Female","Low","None","655cc33b307944ee1ba8cddc",0.3
"229","63ecff07b619306f41db42fa",1,5,3,"Male","Low","None","655cc33b307944ee1ba8cddc",0.15
"230","65363308b033b495d3a43c2e",1,7,8,"Female","Low","None","655cc33b307944ee1ba8cddc",0.3
"231","6563003ce4f5a268a959df06",0,6,8,"Female","High","E","5e929bd3080e070d20e394b3",0.3
"232","5c9567e99d4cac0011609746",1,7,5,"Male","High","E","5e929bd3080e070d20e394b3",0.3
"233","63f794e7d8d24753edbbb136",1,7,2,"Female","Low","E","5e929bd3080e070d20e394b3",0.3
"234","6560efc6901d6dcf98fe9c71",0,6,4,"Male","Low","E","5e929bd3080e070d20e394b3",0.3
"235","5f485c765324cf1ed7d564cd",0,4,2,"Female","Low","E","5e929bd3080e070d20e394b3",0.3
"236","64a281f78c5be10f0f28e3ac",0,6,5,"Male","Low","E","5e929bd3080e070d20e394b3",0.3
"237","63a49d5bb18f18863fe82dae",0,0,2,"Female","High","E","5e929bd3080e070d20e394b3",0.015
"238","654cf6acd3de98547781695c",0,4,6,"Male","Low","E","5e929bd3080e070d20e394b3",0.3
"239","656330bce859fe9d4d59f7cd",0,0,2,"Male","High","E","5e929bd3080e070d20e394b3",0.015
"240","5c3c4726e8da5300012422c1",0,6,6,"Female","Low","E","5e929bd3080e070d20e394b3",0.3
"241","609449f609ad18c98dba5787",0,5,2,"Female","Low","E","5c6ef14c2cd3cb0001fadd0e",0.3
"242","63368a7379eb43fa2105d971",0,4,6,"Male","High","E","5c6ef14c2cd3cb0001fadd0e",0.3
"243","6562565a6752019f98cf5c76",0,4,3,"Female","Low","E","5c6ef14c2cd3cb0001fadd0e",0.3
"244","5e3adfc595ff562fbdd130fa",0,2,2,"Male","Low","E","5c6ef14c2cd3cb0001fadd0e",0.165
"245","5dcf4136cf8e7e086ea019e4",0,4,4,"Female","High","E","5c6ef14c2cd3cb0001fadd0e",0.3
"246","5f63d462fb4c4713b69d4bb7",0,5,2,"Male","Low","E","5c6ef14c2cd3cb0001fadd0e",0.3
"247","654c7305aba05b86538b72be",1,5,5,"Male","Low","E","5c6ef14c2cd3cb0001fadd0e",0.15
"248","65649e26fc062fd174f780eb",1,5,5,"Female","High","E","5c6ef14c2cd3cb0001fadd0e",0.15
"249","62961bfdbe5f238d3225db72",0,2,2,"Female","Low","E","5c6ef14c2cd3cb0001fadd0e",0.165
"250","5f0c98239c6dab0fadfee6de",1,4,5,"Male","High","E","5c6ef14c2cd3cb0001fadd0e",0
"251","647e0f22b1d466181ae694c4",1,7,5,"Female","Low","None","65601a06096ae7651d08a6f1",0.3
"252","63235c5bf70d8e4f79b205cd",1,10,10,"Male","High","None","65601a06096ae7651d08a6f1",0.5
"253","61509f6eb3a929e50f33ede1",0,5,3,"Male","High","None","65601a06096ae7651d08a6f1",0.3
"254","5ee5e3b02eebe932ee9559c5",1,8,6,"Male","High","None","65601a06096ae7651d08a6f1",0.35
"255","62fba37f3560a85b4eb94aac",0,2,1,"Male","Low","None","65601a06096ae7651d08a6f1",0.165
