"","ProlificID","ResponseId","Score","Gender","Age","Ethnicity","Education"
"17","663509a80477df61c7c8f2f8","R_52odACfK4TZ2bpt",7,"Male","27","Asian","Bachelor’s degree"
"18","65ad465b1c79ea32da32e582","R_3PZeWFUhryKY3Tr",4,"Male","47","Black or African American","Bachelor’s degree"
"19","65cb9a592b3565cba17bc37c","R_5OjZyByySrlGwtK",2,"Female","26","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"20","64d5ad8c6369a60431c7c871","R_1rqrrbYsRgnE3Jv",4,"Female","52","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"21","65cb8a96b1bc5e0379c73580","R_5TPFaG7Ga8dmgnf",6,"Female","21","Asian","Some college, but no degree"
"22","66311e5f376506499665f545","R_8puuZTLYxDnFKW4",6,"Female","43","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"23","65e72f454424782478bcd5c6","R_2CkiDKL2c0ZPpO3",4,"Female","30","White or Caucasian","Bachelor’s degree"
"24","663193b3401cd39654458e20","R_11gwS2XOpePZ6yb",3,"Female","37","White or Caucasian","Bachelor’s degree"
"25","61368e7338ccddeb37099033","R_1v8Pg9WKNMNeUbn",8,"Female","21","White or Caucasian","Some college, but no degree"
"26","662d177a31e7a39d3ed18c83","R_2R1wLKWyzi3unEg",7,"Female","31","Black or African American","Associates or technical degree"
"27","6632b7f87aa9f328a450e664","R_5S4yVtHij3skr2p",5,"Male","26","White or Caucasian","Bachelor’s degree"
"28","6632b251b156f5767252f453","R_18A7AaRLN7q0jiV",4,"Female","38","Black or African American","Associates or technical degree"
"29","65f085835e85753b66793e05","R_3yejkxQnysjCV9F",5,"Male","25","White or Caucasian","Bachelor’s degree"
"30","663491f88c0a5b16beffc59e","R_5GfFtEziOh8CQRz",4,"Male","33","Black or African American","Bachelor’s degree"
"31","631b842a5603f48811a26093","R_3d5eRJdTr60IF7R",6,"Female","30","Black or African American","Bachelor’s degree"
"32","5e0ced5eb633b5499b654db5","R_3lMN1fw5YqrflJG",6,"Female","25","White or Caucasian","Bachelor’s degree"
"33","6630ec585b2fd1b36fb96788","R_39Esqg68DKZkYTf",5,"Male","21","Other","High school diploma or GED"
"34","661325737cd9300866604e4a","R_57yrw9EDGjUECPH",6,"Female","43","White or Caucasian","Bachelor’s degree"
"35","65ecfcd2ba0a9ef7fd3c8c90","R_7q4yrzLSIYwlSaY",6,"Female","30","White or Caucasian","High school diploma or GED"
"36","66344d1b3c5d9780ca731cf3","R_5t9DvS1dbIgw7T1",4,"Male","32","White or Caucasian","Bachelor’s degree"
"37","66294535a72655a6fd869832","R_5VLphPQz6TyMTol",4,"Female","39","White or Caucasian","Bachelor’s degree"
"38","65cb79a06c4334da38aac2dd","R_5rP3sV3GkPnJqLf",8,"Female","21","Asian","High school diploma or GED"
"39","66325445c56a044e58f6e8be","R_5QDVvLizbor4WI9",2,"Female","43","Other","Some college, but no degree"
"40","66140c26ed884c5d523440f5","R_3JUVaTWffSEOpn3",0,"Female","61","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"41","6631997e0554bb6d25062fd4","R_2f6CKTkr5iNUUOx",4,"Male","24","White or Caucasian","High school diploma or GED"
"42","662fbae9b9b9d43471a00ef9","R_2AwX5PoWIY03oE9",2,"Female","22","Other","Some college, but no degree"
"43","654cd7cdd242242523a845f2","R_7DkhRZXhSbv8eTj",4,"Male","38","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"44","66130b23ee407564e718fcfd","R_5L20YwXH5gPOSke",7,"Female","40","Asian","Associates or technical degree"
"45","6634ee5e11f612e998d1dae0","R_71oYJJlbtV8iNze",6,"Female","37","White or Caucasian","Associates or technical degree"
"46","66329abb8d822d4a70167e9e","R_3frDLcHWHUEVxqV",4,"Female","47","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"47","65d73ee0c7c5cd7171f32ecd","R_41ZsxN36GjcRquG",8,"Female","33","White or Caucasian","Bachelor’s degree"
"48","6294cced417fa0a733ba14a4","R_3ptjMnwGJpUTwtb",3,"Male","37","Other","Some college, but no degree"
"49","6634ff060151de063a8faa45","R_65ZMdSwqPJkqkhF",4,"Female","28","Other","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"50","663308faa6b5029db909e0d3","R_1zdb5rX5K1QbrZR",5,"Male","42","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
