StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID17,QID18,QID19,Guess,Age,Gender,Ethnicity,Education,Comments,PROLIFIC_PID,Condition
2023-12-04 09:11:31,2023-12-04 09:19:14,IP Address,75.250.171.46,100,462,True,2023-12-04 09:19:15,R_27yCrVTzlsCtrBp,,,,,42.1643,-88.3124,anonymous,EN,I agree to participate.,655a8779b6b320720bad2814,67.624,251.253,300.031,9,113 feet,x = -2y,,13,5.05,-22,8,117°,3,4x2 + 16x + 48,5,69,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",not at all. i enjoyed the study,655a8779b6b320720bad2814,High
2023-12-04 09:11:17,2023-12-04 09:20:16,IP Address,172.56.222.244,100,538,True,2023-12-04 09:20:16,R_3fr7RobteKjrGyH,,,,,40.0345,-75.1193,anonymous,EN,I agree to participate.,656dc70f0cd8f24c7152e08a,15.396,296.3,300.04,12,113 feet,x = -2y,x25,13,5.05,-34,6,180°,3,4x2 + 32x + 48,3,63,Male,Black or African American,Bachelor’s degree,,656dc70f0cd8f24c7152e08a,Low
2023-12-04 09:11:07,2023-12-04 09:21:03,IP Address,97.157.62.163,100,596,True,2023-12-04 09:21:04,R_2dLqBk0xs3u1PyX,,,,,42.4257,-83.1522,anonymous,EN,I agree to participate.,654e434ae05e35d574cecf05,2.502,299.852,300.021,99,36 feet,x = -2,x8,13,,-34,6,180°,3,4x2 + 32x + 48,5,65,Female,Black or African American,Bachelor’s degree,Great study!,654e434ae05e35d574cecf05,High
2023-12-04 09:14:33,2023-12-04 09:22:33,IP Address,172.59.185.160,100,479,True,2023-12-04 09:22:34,R_DCAz2OERYRGDTqh,,,,,41.946,-87.7033,anonymous,EN,I agree to participate.,6558f5cd0b526b963e4e5a90,201.527,291.669,300.153,2,113 feet,x = -2,,,,,,,,,2,64,Male,Black or African American,"Some college, but no degree",Great mathematical questions,6558f5cd0b526b963e4e5a90,Low
2023-12-04 09:30:22,2023-12-04 09:30:22,IP Address,73.215.189.29,100,0,True,2023-12-04 09:30:22,R_334qBVuMfRCQWu6,,,,,40.7238,-74.2293,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,601aa8b45608d83083ff9211,
2023-12-04 09:24:51,2023-12-04 09:30:40,IP Address,47.33.175.11,100,348,True,2023-12-04 09:30:40,R_2xLypYghgCbYuJs,,,,,44.6479,-124.0507,anonymous,EN,I agree to participate.,60e5e4a8f7dedf082efd5af9,7.325,242.47,300.044,12,54 feet,x = -2y,x15,13,5.05,-34,6,63°,6,4x2 + 16x + 16,2,56,Female,White or Caucasian,Bachelor’s degree,,60e5e4a8f7dedf082efd5af9,Low
2023-12-04 09:23:40,2023-12-04 09:31:07,IP Address,172.250.219.234,100,446,True,2023-12-04 09:31:07,R_3plOlWzTkF4OTkB,,,,,33.7372,-117.8232,anonymous,EN,I agree to participate.,6454023a00d29eb604027c8f,15.6,149.012,300.117,12,36 feet,x = -2y,x15,9,2.060154,42,10,117°,-6,4x2 + 16x + 16,1,59,Female,White or Caucasian,Associates or technical degree,,6454023a00d29eb604027c8f,High
2023-12-04 09:24:45,2023-12-04 09:33:27,IP Address,174.234.18.202,100,521,True,2023-12-04 09:33:27,R_22rUc0qencLGLI8,,,,,39.7388,-104.9868,anonymous,EN,I agree to participate.,655c9eb6350be3de2c9f155e,44.943,194.871,301.603,10,113 feet,x - 2 = y,x8,13,2.060154,42,6,117°,-3,4x2 + 16x + 16,3,66,Female,Black or African American,Bachelor’s degree,,655c9eb6350be3de2c9f155e,High
2023-12-04 09:27:15,2023-12-04 09:33:31,IP Address,73.215.189.29,100,375,True,2023-12-04 09:33:31,R_cT3ZrFICEBOwpYl,,,,,40.7238,-74.2293,anonymous,EN,I agree to participate.,601aa8b45608d83083ff9211,53.043,292.991,300.113,8,,,,13,2.07,-22,6,63°,3,4x2 + 32x + 48,4,21,Female,White or Caucasian,High school diploma or GED,,601aa8b45608d83083ff9211,High
2023-12-04 09:27:58,2023-12-04 09:33:46,IP Address,99.149.156.170,100,348,True,2023-12-04 09:33:47,R_28SX4HJoJlfQoCi,,,,,32.8595,-117.2124,anonymous,EN,I agree to participate.,604eb32b7405f25e90f5acce,1.477,25.031,300.015,11,113 feet,x = -2,x8,13,2.06,-34,6,63°,3,4x2 + 32x + 48,8,25,Male,Asian,Bachelor’s degree,,604eb32b7405f25e90f5acce,High
2023-12-04 09:29:51,2023-12-04 09:35:23,IP Address,144.86.152.94,100,332,True,2023-12-04 09:35:24,R_3yK2Ko2mvdv5eyB,,,,,45.6574,-68.7102,anonymous,EN,I agree to participate.,5d5daa0457be9400014544ab,8.514,283.135,300.028,26,113 feet,x = -2,x15,11,2.060154,-22,12,180°,-3,4x2 + 32x + 48,3,33,Female,White or Caucasian,Associates or technical degree,,5d5daa0457be9400014544ab,Low
2023-12-04 09:31:20,2023-12-04 09:37:20,IP Address,136.52.41.49,100,359,True,2023-12-04 09:37:21,R_2CJr1T207otxEZk,,,,,33.672,-117.7402,anonymous,EN,I agree to participate.,64f4ffad72a823ca4a654585,66.283,295.514,300.01,6,113 feet,,x15,13,2.06,-34,,,,,4,35,Female,Asian,"Some college, but no degree",,64f4ffad72a823ca4a654585,Low
2023-12-04 09:32:15,2023-12-04 09:38:17,IP Address,69.243.222.21,100,361,True,2023-12-04 09:38:18,R_2AX3QX5tUpeGxCV,,,,,37.5453,-77.9187,anonymous,EN,I agree to participate.,656895a927e7b2f8ccd33dbb,28.326,294.797,300.027,14,108 feet,x = -2,x15,13,5.05,-34,6,63°,-3,4x2 + 32x + 48,4,43,Female,Other,Associates or technical degree,,656895a927e7b2f8ccd33dbb,High
2023-12-04 09:32:31,2023-12-04 09:38:18,IP Address,24.127.192.245,100,347,True,2023-12-04 09:38:19,R_3rVzbnpiayufIEP,,,,,42.9469,-85.6206,anonymous,EN,I agree to participate.,61084cf97f6981fb1f90683e,20.707,279.342,300.022,9,54 feet,x = -2y,x15,13,2.06,-34,6,63°,6,,4,24,Female,White or Caucasian,"Some college, but no degree",,61084cf97f6981fb1f90683e,Low
2023-12-04 09:36:11,2023-12-04 09:43:22,IP Address,81.161.5.44,100,431,True,2023-12-04 09:43:23,R_11ZN7CMVEwIIKhH,,,,,40.7662,-74.0178,anonymous,EN,I agree to participate.,653efdb0f60588dbb6c205cf,7.202,21.16,300.165,10,54 feet,x = -2y,2x5,11,5.05,42,8,180°,-3,4x2 + 16x + 48,5,40,Male,Black or African American,Bachelor’s degree,,653efdb0f60588dbb6c205cf,High
2023-12-04 09:36:27,2023-12-04 09:43:25,IP Address,97.147.82.11,100,418,True,2023-12-04 09:43:25,R_3EWu5Va20Jm5WEk,,,,,29.9317,-90.1026,anonymous,EN,I agree to participate.,64db6562e5551a2f0b277fe1,9.001,299.439,300.038,32,113 feet,x - 2 = y,x15,13,2.06,-34,6,117°,3,,7,54,Male,Black or African American,Bachelor’s degree,,64db6562e5551a2f0b277fe1,Low
2023-12-04 09:37:58,2023-12-04 09:44:31,IP Address,23.114.200.9,100,392,True,2023-12-04 09:44:32,R_A57tzEWOLTpzqYV,,,,,32.8003,-117.2438,anonymous,EN,I agree to participate.,65628f277bcd810f66b36764,20.759,276.798,300.111,5,108 feet,x - 2 = y,x15,13,2.06,,,,,,4,43,Female,Asian,Bachelor’s degree,,65628f277bcd810f66b36764,High
2023-12-04 09:34:56,2023-12-04 09:44:46,IP Address,76.182.72.163,100,590,True,2023-12-04 09:44:47,R_33ajuN7ACfy0t93,,,,,35.7614,-78.6015,anonymous,EN,I agree to participate.,6560d46c513110ff4ae5d0c5,9.272,296.557,300.13,24,54 feet,x = -2y,x15,11,2.06,-22,8,180°,,,4,33,Female,Black or African American,Bachelor’s degree,,6560d46c513110ff4ae5d0c5,High
2023-12-04 09:46:30,2023-12-04 09:46:30,IP Address,173.72.2.9,100,0,True,2023-12-04 09:46:31,R_3GBvuWzCyEQdvR5,,,,,40.3292,-74.5691,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,63e6a210aed5ff20a7f66025,
2023-12-04 09:39:29,2023-12-04 09:47:04,IP Address,162.196.255.132,100,454,True,2023-12-04 09:47:04,R_1JPjD5ueVlItYno,,,,,25.9585,-80.1381,anonymous,EN,I agree to participate.,63d68e4f60c155f4f1fd9681,87.089,300,300.18,30,113 feet,x = -2,x8,15,2.060154,-34,12,63°,,,4,32,Male,Black or African American,Bachelor’s degree,,63d68e4f60c155f4f1fd9681,High
2023-12-04 09:41:08,2023-12-04 09:47:36,IP Address,24.229.189.123,100,387,True,2023-12-04 09:47:36,R_1CCjthvP64fsEiQ,,,,,41.7041,-76.2795,anonymous,EN,I agree to participate.,656cab209b8a5cc866d7c808,10.362,164.624,301.734,10,36 feet,x = -2,x15,9,2.06,14,12,117°,6,2x2 + 7x + 24,1,55,Female,White or Caucasian,High school diploma or GED,,656cab209b8a5cc866d7c808,High
2023-12-04 09:35:38,2023-12-04 09:48:09,IP Address,75.250.171.46,100,751,True,2023-12-04 09:48:10,R_2P0fxKaTlTLesUd,,,,,42.1643,-88.3124,anonymous,EN,I agree to participate.,654e3c8cc3afc7374425fe78,14.017,244.423,300.127,10,113 feet,x = -2,x15,13,2.060154,-22,6,63°,-6,4x2 + 32x + 48,2,71,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,654e3c8cc3afc7374425fe78,Low
2023-12-04 09:42:05,2023-12-04 09:49:26,IP Address,104.191.132.120,100,441,True,2023-12-04 09:49:27,R_3m1tPkpG0YAZT6A,,,,,32.8445,-79.8242,anonymous,EN,I agree to participate.,650b6c4babc7aa25099a457d,11.136,293.062,300.15,17,113 feet,x = -2y,x25,13,2.07,,,,,4x2 + 32x + 48,4,54,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,650b6c4babc7aa25099a457d,Low
2023-12-04 09:43:34,2023-12-04 09:49:34,IP Address,184.55.46.140,100,359,True,2023-12-04 09:49:35,R_2ZDDplQcZ7kEGwN,,,,,42.5881,-88.4554,anonymous,EN,I agree to participate.,65602c23bb03869d53e76a34,18.657,274.964,301.016,68,113 feet,x = -2y,x15,13,5.05,-34,6,63°,3,4x2 + 32x + 48,5,27,Female,Asian,Bachelor’s degree,,65602c23bb03869d53e76a34,Low
2023-12-04 09:44:10,2023-12-04 09:50:47,IP Address,81.161.7.111,100,397,True,2023-12-04 09:50:48,R_3G8jv2t7BVAKErC,,,,,40.7662,-74.0178,anonymous,EN,I agree to participate.,654e5bcb8cb6aeb8ca9b33a0,1.513,15.654,300.25,11,113 feet,x = -2y,x15,11,2.060154,42,8,63°,3,4x2 + 32x + 48,8,44,Male,White or Caucasian,Bachelor’s degree,,654e5bcb8cb6aeb8ca9b33a0,High
2023-12-04 09:43:49,2023-12-04 09:51:04,IP Address,47.46.156.26,100,435,True,2023-12-04 09:51:05,R_3m4Yg3Oreru106d,,,,,33.5356,-85.255,anonymous,EN,I agree to participate.,6450ee577358c55508e77ff3,5.982,298.91,300.086,65,113 feet,x = -2y,x8,13,5.05,-34,6,117°,-3,4x2 + 32x + 48,5,63,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,6450ee577358c55508e77ff3,High
2023-12-04 09:32:25,2023-12-04 09:51:51,IP Address,172.59.121.231,100,1165,True,2023-12-04 09:51:52,R_2uVXuncknpg0IjM,,,,,35.4834,-97.6315,anonymous,EN,I agree to participate.,6554d37b930cdddd5d185854,219.822,265.654,301.913,12,113 feet,x = -2,2x5,13,5.05,14,6,63°,6,2x2 + 7x + 24,4,69,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,6554d37b930cdddd5d185854,High
2023-12-04 09:46:34,2023-12-04 09:53:28,IP Address,173.92.129.83,100,413,True,2023-12-04 09:53:28,R_3NXsvkwq7LOxJIO,,,,,35.0562,-80.8194,anonymous,EN,I agree to participate.,555d0683fdf99b3fde8fd4e4,11.472,200.687,300.124,11,36 feet,x - 2 = y,x15,13,2.06,42,8,297°,-6,4x2 + 16x + 48,0,58,Female,White or Caucasian,High school diploma or GED,,555d0683fdf99b3fde8fd4e4,Low
2023-12-04 09:56:19,2023-12-04 09:56:19,IP Address,170.205.168.36,100,0,True,2023-12-04 09:56:20,R_2aRlnX0kUl6xoii,,,,,32.275,-83.4981,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,651aab3c0585df97bfb4b86d,
2023-12-04 09:46:32,2023-12-04 09:56:31,IP Address,173.72.2.9,100,599,True,2023-12-04 09:56:32,R_BMx5M4kM7oCyn4t,,,,,40.3292,-74.5691,anonymous,EN,I agree to participate.,63e6a210aed5ff20a7f66025,13.186,298.947,300.026,68,113 feet,x - 2 = y,x25,,2.06,-22,6,117°,-6,4x2 + 32x + 48,2,29,Male,Black or African American,Bachelor’s degree,,63e6a210aed5ff20a7f66025,High
2023-12-04 09:50:08,2023-12-04 09:56:45,IP Address,47.232.194.170,100,396,True,2023-12-04 09:56:46,R_1Hq8aFnGjIgKql6,,,,,34.1657,-118.3409,anonymous,EN,I agree to participate.,6130948c797e3ff6838513f3,19.917,298.354,300.009,12,54 feet,x = -2,x15,13,2.06,14,12,63°,-3,4x2 + 32x + 48,2,32,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","I grew up with the metric system and was never good in math at school, but it would be a good idea to dive back into it. ",6130948c797e3ff6838513f3,High
2023-12-04 09:52:21,2023-12-04 09:58:25,IP Address,97.99.209.76,100,364,True,2023-12-04 09:58:26,R_2f9HvWaTMtGe2KV,,,,,33.0287,-96.6826,anonymous,EN,I agree to participate.,5c264cc409440500015b5c76,31.972,285.843,300.21,14,113 feet,x - 2 = y,x15,11,2.06,-34,6,63°,,,6,50,Female,White or Caucasian,Bachelor’s degree,Thanks for including me.,5c264cc409440500015b5c76,High
2023-12-04 09:52:25,2023-12-04 09:58:56,IP Address,76.103.193.49,100,391,True,2023-12-04 09:58:57,R_Ua5ThGGpdKRDHQB,,,,,37.8135,-121.9658,anonymous,EN,I agree to participate.,656cdaba68b29fde6f423183,17.553,276.984,300.023,22,108 feet,x = -2y,x8,13,5.05,-34,8,63°,,,1,47,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","No, only that I've completely forgotten all of my math studies!",656cdaba68b29fde6f423183,Low
2023-12-04 09:53:47,2023-12-04 09:59:54,IP Address,64.217.149.212,100,366,True,2023-12-04 09:59:55,R_1KfmYJ6os25Y1Eu,,,,,34.0014,-84.0144,anonymous,EN,I agree to participate.,6328ddce9adceb215c2334ee,6.705,211.645,301.219,15,54 feet,x = -2y,x25,13,2.060154,-22,6,63°,-3,4x2 + 16x + 48,1,30,Male,Black or African American,"Some college, but no degree",,6328ddce9adceb215c2334ee,Low
2023-12-04 09:54:19,2023-12-04 09:59:57,IP Address,71.54.195.198,100,338,True,2023-12-04 09:59:58,R_3e3V5GjBdN4nKwn,,,,,26.6067,-81.9507,anonymous,EN,I agree to participate.,5eddb464a77718acaaa72ab5,7.014,244.813,300.108,10,36 feet,x = -2,x15,13,5.05,-34,6,63°,-3,4x2 + 32x + 48,2,32,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",NA,5eddb464a77718acaaa72ab5,Low
2023-12-04 09:55:17,2023-12-04 10:00:55,IP Address,136.36.52.109,100,337,True,2023-12-04 10:00:55,R_A7pyA9WOlBTFPot,,,,,40.2584,-111.6591,anonymous,EN,I agree to participate.,63175d865ac96b0149de8ad6,37.536,283.364,301.041,19,113 feet,x = -2,x15,13,2.06,-34,6,63°,,,5,32,Male,Asian,Bachelor’s degree,,63175d865ac96b0149de8ad6,High
2023-12-04 09:53:33,2023-12-04 10:03:14,IP Address,66.56.199.157,100,580,True,2023-12-04 10:03:15,R_1dK0YILhh6yJMnF,,,,,34.3208,-78.7145,anonymous,EN,I agree to participate.,654dc7f860fd9cb92c583248,1.727,370.212,371.143,75,108 feet,x - 2 = y,x15,11,5.05,-34,6,,,,6,62,Female,Black or African American,Bachelor’s degree,No comments,654dc7f860fd9cb92c583248,High
2023-12-04 10:05:05,2023-12-04 10:05:05,IP Address,98.24.66.228,100,0,True,2023-12-04 10:05:06,R_1NCxxTkgpSmtKhz,,,,,35.2701,-81.5306,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,656ddfe0f660aa4a2572670e,
2023-12-04 09:52:06,2023-12-04 10:06:17,IP Address,172.58.181.68,100,851,True,2023-12-04 10:06:18,R_DiWhRuLv0X39jxL,,,,,32.7117,-96.9993,anonymous,EN,I agree to participate.,653a9c57c974283419bba454,9.086,297.396,300.107,27,113 feet,x = -2,x8,13,2.06,-34,,,,,7,62,Male,Black or African American,Bachelor’s degree,NO COMMENT,653a9c57c974283419bba454,Low
2023-12-04 10:00:14,2023-12-04 10:06:40,IP Address,99.101.171.111,100,385,True,2023-12-04 10:06:41,R_33eZIH4cPCsjCSK,,,,,28.1404,-80.6514,anonymous,EN,I agree to participate.,63b63938dbf229f3eb46d4a4,48.757,290.739,300.151,17,113 feet,x - 2 = y,x15,13,2.060154,-34,6,63°,-6,4x2 + 32x + 48,7,50,Male,White or Caucasian,Bachelor’s degree,,63b63938dbf229f3eb46d4a4,Low
2023-12-04 10:00:23,2023-12-04 10:06:40,IP Address,47.161.9.188,100,376,True,2023-12-04 10:06:41,R_1jZgcbHIT08784I,,,,,32.8975,-96.123,anonymous,EN,I agree to participate.,581291fd072c230001933d38,7.768,141.939,300.218,11,36 feet,x - 2 = y,x15,11,2.06,-34,6,63°,3,4x2 + 16x + 16,3,25,Female,White or Caucasian,Associates or technical degree,,581291fd072c230001933d38,High
2023-12-04 10:00:09,2023-12-04 10:07:21,IP Address,73.155.3.226,100,432,True,2023-12-04 10:07:21,R_3Ms1ymumd4L2B8f,,,,,29.7467,-94.9638,anonymous,EN,I agree to participate.,5c1053202b16ba0001c86317,13.843,253.159,301.904,11,36 feet,x = -2,x15,13,2.06,-34,6,63°,-6,4x2 + 32x + 48,4,38,Male,Black or African American,Bachelor’s degree,,5c1053202b16ba0001c86317,High
2023-12-04 10:01:26,2023-12-04 10:07:39,IP Address,72.186.38.124,100,373,True,2023-12-04 10:07:40,R_2VxUhydQKvgU9Lf,,,,,28.0331,-81.9391,anonymous,EN,I agree to participate.,6523fd484d1a5101f5a14ed9,58.924,278.93,300.113,5,113 feet,x - 2 = y,x15,13,2.06,,,,,,3,66,Male,White or Caucasian,Associates or technical degree,,6523fd484d1a5101f5a14ed9,High
