StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,CT&PS4,CT&PS6,CT&PS8,EI1,EI4,EI5,EI9,S&C4,S&C6,S&C8,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID,Score
2024-05-03 10:47:17,2024-05-03 10:54:02,IP Address,76.121.27.168,100,405,True,2024-05-03 10:54:03,R_1fe9Mv9wFLmrKJc,,,,,48.799,-122.4499,anonymous,EN,I agree to participate.,657de70becfb771d9652c7e3,1.854,190.687,300.142,15,confused,tricky,talk and extrovert,comforting,sarcastic,fantasizing,playful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",25,Female,Other,Associates or technical degree,no,2,657de70becfb771d9652c7e3,2
2024-05-03 10:48:29,2024-05-03 10:54:28,IP Address,50.29.211.164,100,358,True,2024-05-03 10:54:29,R_3NszQChlm5gTO4p,,,,,40.4465,-75.8206,anonymous,EN,I agree to participate.,6633c311703042597d0c74ef,9.012,296.978,300.016,21,once in a blue moon,painless operation,small talk,irritated,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",27,Female,White or Caucasian,"Some college, but no degree",,5,6633c311703042597d0c74ef,5
2024-05-03 10:50:12,2024-05-03 10:56:17,IP Address,70.188.8.218,100,364,True,2024-05-03 10:56:17,R_5B51yy4xJ90xdmw,,,,,37.2557,-79.9812,anonymous,EN,I agree to participate.,660ea5c01a54c266cc7a3f5f,1.918,292.036,300.051,30,once in a blue moon,overton window,small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",34,Female,White or Caucasian,Bachelor’s degree,,6,660ea5c01a54c266cc7a3f5f,6
2024-05-03 10:48:49,2024-05-03 10:56:42,IP Address,99.190.67.95,100,473,True,2024-05-03 10:56:43,R_1LCkMQBVHI6Aibs,,,,,41.9211,-87.7032,anonymous,EN,I agree to participate.,6634fa6d07f5415b2011e54e,8.611,190.206,300.106,12,once in a blue moon,operation,small talk,irritated,worried,uneasy,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",40,Male,White or Caucasian,Bachelor’s degree,,6,6634fa6d07f5415b2011e54e,6
2024-05-03 10:51:37,2024-05-03 10:58:46,IP Address,207.228.20.130,100,428,True,2024-05-03 10:58:46,R_23j3ruYwXgzjbsR,,,,,40.0818,-82.9665,anonymous,EN,I agree to participate.,65c20d819c893363dae6db82,9.927,292.959,300.041,19,moon,over,"talktive ",playful,sarcastic,dispirited,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",23,Male,Asian,Bachelor’s degree,"it is really good to do ",5,65c20d819c893363dae6db82,5
2024-05-03 10:52:49,2024-05-03 10:59:09,IP Address,68.12.205.14,100,379,True,2024-05-03 10:59:10,R_3dH2k112Xk6dWRN,,,,,35.5144,-97.5865,anonymous,EN,I agree to participate.,5fd14598fd2de30f5eea2fc4,6.574,256.226,300.03,18,once in a blue moon,,SMALL TALK,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",71,Female,White or Caucasian,"Some college, but no degree",,6,5fd14598fd2de30f5eea2fc4,6
2024-05-03 10:55:13,2024-05-03 11:01:10,IP Address,172.58.150.49,100,357,True,2024-05-03 11:01:11,R_2Q4vlQIvV6v6TFx,,,,,36.1723,-86.6608,anonymous,EN,I agree to participate.,5b21f6f6648d5b0001b7c648,5.787,265.506,300.108,33,Once in a blue moon,painless operation,small talk,bored,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",31,Male,White or Caucasian,High school diploma or GED,,7,5b21f6f6648d5b0001b7c648,7
2024-05-03 10:55:41,2024-05-03 11:02:09,IP Address,69.141.80.137,100,388,True,2024-05-03 11:02:10,R_5fcCzp295sMdSJd,,,,,39.7505,-75.3323,anonymous,EN,I agree to participate.,662eb858a2234c5ea6f02bdb,1.254,141.676,300.192,13,once in a blue moon,missing for oerto,small talk,bored,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",36,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,5,662eb858a2234c5ea6f02bdb,5
2024-05-03 10:49:21,2024-05-03 11:03:55,IP Address,47.4.240.191,100,874,True,2024-05-03 11:03:56,R_6oiLnikPO5hwF36,,,,,34.0409,-84.0237,anonymous,EN,I agree to participate.,6630e228a0617e7dc826162f,8.241,238.675,300.046,19,,OPERATOR,talk,playful,worried,fantasizing,affectionate,,,,40,Female,White or Caucasian,Associates or technical degree,Thanks.,2,6630e228a0617e7dc826162f,2
2024-05-03 10:58:59,2024-05-03 11:04:43,IP Address,172.119.249.245,100,343,True,2024-05-03 11:04:44,R_52odACfK4TZ2bpt,,,,,34.1957,-118.6466,anonymous,EN,I agree to participate.,663509a80477df61c7c8f2f8,2.415,289.477,300.115,22,once in a blue moon,painless operation,small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",27,Male,Asian,Bachelor’s degree,,7,663509a80477df61c7c8f2f8,7
2024-05-03 10:59:24,2024-05-03 11:05:37,IP Address,104.251.81.114,100,373,True,2024-05-03 11:05:38,R_3PZeWFUhryKY3Tr,,,,,37.3651,-122.0383,anonymous,EN,I agree to participate.,65ad465b1c79ea32da32e582,4.013,249.962,301.511,13,"once in a blue moon ",Operator,talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",47,Male,Black or African American,Bachelor’s degree,,4,65ad465b1c79ea32da32e582,4
2024-05-03 11:05:51,2024-05-03 11:05:51,IP Address,172.56.209.163,100,0,True,2024-05-03 11:05:52,R_7IfXetDdL4f9Hih,,,,,36.1685,-115.1164,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,0,6603f03bc3cdb30f9deae017,
2024-05-03 11:00:51,2024-05-03 11:06:32,IP Address,38.121.166.66,100,340,True,2024-05-03 11:06:33,R_5OjZyByySrlGwtK,,,,,40.7503,-74.0014,anonymous,EN,I agree to participate.,65cb9a592b3565cba17bc37c,1.159,79.813,301.744,11,,,talk,playful,sarcastic,fantasizing,aghast,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",26,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,2,65cb9a592b3565cba17bc37c,2
2024-05-03 10:59:34,2024-05-03 11:07:44,IP Address,65.79.133.160,100,490,True,2024-05-03 11:07:45,R_1rqrrbYsRgnE3Jv,,,,,42.0107,-87.6657,anonymous,EN,I agree to participate.,64d5ad8c6369a60431c7c871,18.934,285.663,300.14,15,one moon,,talk,playful,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",52,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,4,64d5ad8c6369a60431c7c871,4
2024-05-03 11:03:23,2024-05-03 11:09:12,IP Address,96.241.253.52,100,348,True,2024-05-03 11:09:13,R_5TPFaG7Ga8dmgnf,,,,,38.9258,-77.3939,anonymous,EN,I agree to participate.,65cb8a96b1bc5e0379c73580,1.339,167.11,300.079,14,once in a blue moon,painless operation,small talk,irritated,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",21,Female,Asian,"Some college, but no degree",,6,65cb8a96b1bc5e0379c73580,6
2024-05-03 11:02:46,2024-05-03 11:09:18,IP Address,76.146.95.115,100,392,True,2024-05-03 11:09:19,R_8puuZTLYxDnFKW4,,,,,47.4998,-122.0086,anonymous,EN,I agree to participate.,66311e5f376506499665f545,1.875,238.257,300.028,20,once in a blue moon,OPERATION,small talk,playful,worried,fantasizing,playful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",43,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,6,66311e5f376506499665f545,6
2024-05-03 11:03:24,2024-05-03 11:09:20,IP Address,73.108.124.237,100,355,True,2024-05-03 11:09:20,R_2CkiDKL2c0ZPpO3,,,,,31.9948,-81.2335,anonymous,EN,I agree to participate.,65e72f454424782478bcd5c6,2.232,196.276,300.117,16,"once, moon",over,small talk,irritated,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",30,Female,White or Caucasian,Bachelor’s degree,,4,65e72f454424782478bcd5c6,4
2024-05-03 11:03:37,2024-05-03 11:10:00,IP Address,162.202.174.206,100,383,True,2024-05-03 11:10:01,R_11gwS2XOpePZ6yb,,,,,29.8738,-95.5233,anonymous,EN,I agree to participate.,663193b3401cd39654458e20,1.034,294.922,300.012,27,Once in a blue moon,Operation,Small Talk,irritated,sarcastic,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,,37,Female,White or Caucasian,Bachelor’s degree,,3,663193b3401cd39654458e20,3
2024-05-03 11:04:27,2024-05-03 11:10:30,IP Address,98.27.52.80,100,362,True,2024-05-03 11:10:31,R_1v8Pg9WKNMNeUbn,,,,,35.9151,-79.0972,anonymous,EN,I agree to participate.,61368e7338ccddeb37099033,1.344,239.808,300.023,17,once in a blue moon,painless operation,small talk,playful,worried,uneasy,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",21,Female,White or Caucasian,"Some college, but no degree",,8,61368e7338ccddeb37099033,8
2024-05-03 11:05:37,2024-05-03 11:11:36,IP Address,67.244.104.161,100,359,True,2024-05-03 11:11:36,R_2R1wLKWyzi3unEg,,,,,40.7252,-73.944,anonymous,EN,I agree to participate.,662d177a31e7a39d3ed18c83,5.657,298.479,300.162,23,Once in a bluee moon,Over the top,Small talk,playful,worried,uneasy,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",31,Female,Black or African American,Associates or technical degree,,7,662d177a31e7a39d3ed18c83,7
2024-05-03 11:06:21,2024-05-03 11:12:38,IP Address,70.177.172.15,100,376,True,2024-05-03 11:12:39,R_5S4yVtHij3skr2p,,,,,33.6096,-112.3253,anonymous,EN,I agree to participate.,6632b7f87aa9f328a450e664,5.199,271.673,300.02,13,"Moon Once ",,"Small talk ",playful,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",26,Male,White or Caucasian,Bachelor’s degree,,5,6632b7f87aa9f328a450e664,5
2024-05-03 11:06:21,2024-05-03 11:12:51,IP Address,136.226.18.71,100,390,True,2024-05-03 11:12:52,R_18A7AaRLN7q0jiV,,,,,38.9609,-77.3429,anonymous,EN,I agree to participate.,6632b251b156f5767252f453,21.252,267.226,300.127,77,noncom,,talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",38,Female,Black or African American,Associates or technical degree,,4,6632b251b156f5767252f453,4
2024-05-03 11:07:35,2024-05-03 11:13:21,IP Address,64.71.89.15,100,346,True,2024-05-03 11:13:22,R_3yejkxQnysjCV9F,,,,,27.7077,-97.3551,anonymous,EN,I agree to participate.,65f085835e85753b66793e05,4.436,278.131,300.191,18,Once Moon,Painless Operation,small talk,irritated,sarcastic,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",25,Male,White or Caucasian,Bachelor’s degree,,5,65f085835e85753b66793e05,5
2024-05-03 11:07:22,2024-05-03 11:14:00,IP Address,172.56.223.215,100,398,True,2024-05-03 11:14:01,R_5GfFtEziOh8CQRz,,,,,39.9486,-75.2339,anonymous,EN,I agree to participate.,663491f88c0a5b16beffc59e,12.735,253.971,300.044,15,Once in a blue moon,overstood,Space talk,playful,worried,fantasizing,aghast,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",33,Male,Black or African American,Bachelor’s degree,,4,663491f88c0a5b16beffc59e,4
2024-05-03 11:08:02,2024-05-03 11:14:29,IP Address,174.54.140.180,100,386,True,2024-05-03 11:14:29,R_3d5eRJdTr60IF7R,,,,,39.9301,-77.6601,anonymous,EN,I agree to participate.,631b842a5603f48811a26093,3.297,291.158,300.123,18,Once in a blue moon,Painless operation,Small talk,irritated,worried,uneasy,playful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",30,Female,Black or African American,Bachelor’s degree,,6,631b842a5603f48811a26093,6
2024-05-03 11:08:19,2024-05-03 11:14:52,IP Address,47.16.228.61,100,393,True,2024-05-03 11:14:53,R_3lMN1fw5YqrflJG,,,,,41.2045,-73.1988,anonymous,EN,I agree to participate.,5e0ced5eb633b5499b654db5,2.554,148.131,300.118,12,Once in a blue moon,Operation,Small talk,irritated,worried,uneasy,aghast,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",25,Female,White or Caucasian,Bachelor’s degree,"I finished much sooner than the allotted time. Maybe add an option to proceed even if finished early? ",6,5e0ced5eb633b5499b654db5,6
2024-05-03 11:09:16,2024-05-03 11:15:29,IP Address,67.84.69.171,100,372,True,2024-05-03 11:15:30,R_39Esqg68DKZkYTf,,,,,40.7597,-74.1836,anonymous,EN,I agree to participate.,6630ec585b2fd1b36fb96788,2.915,167.727,312.039,14,"once in a blue moon ",over,small talk,playful,irritated,uneasy,doubtful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",21,Male,Other,High school diploma or GED,,5,6630ec585b2fd1b36fb96788,5
2024-05-03 11:09:21,2024-05-03 11:15:36,IP Address,70.142.215.225,100,374,True,2024-05-03 11:15:37,R_57yrw9EDGjUECPH,,,,,34.1624,-118.1275,anonymous,EN,I agree to participate.,661325737cd9300866604e4a,1.436,250.694,300.092,15,once in a blue moon,over it won,small talk,irritated,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",43,Female,White or Caucasian,Bachelor’s degree,,6,661325737cd9300866604e4a,6
2024-05-03 11:09:19,2024-05-03 11:15:58,IP Address,73.133.181.31,100,399,True,2024-05-03 11:15:58,R_7q4yrzLSIYwlSaY,,,,,39.4087,-77.963,anonymous,EN,I agree to participate.,65ecfcd2ba0a9ef7fd3c8c90,6.087,226.439,300.035,22,Once in a blue moon,Painless Operation,small talk,bored,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To promote misunderstandings and conflicts,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",30,Female,White or Caucasian,High school diploma or GED,,6,65ecfcd2ba0a9ef7fd3c8c90,6
2024-05-03 11:10:13,2024-05-03 11:16:24,IP Address,69.147.206.222,100,370,True,2024-05-03 11:16:24,R_5t9DvS1dbIgw7T1,,,,,44.9863,-92.7278,anonymous,EN,I agree to participate.,66344d1b3c5d9780ca731cf3,8.059,210.216,300.026,13,Once,"Order To Go ",Talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",32,Male,White or Caucasian,Bachelor’s degree,,4,66344d1b3c5d9780ca731cf3,4
2024-05-03 11:10:36,2024-05-03 11:16:51,IP Address,75.187.220.53,100,375,True,2024-05-03 11:16:52,R_5VLphPQz6TyMTol,,,,,41.098,-81.6422,anonymous,EN,I agree to participate.,66294535a72655a6fd869832,7.342,294.89,300.094,30,Moon Once,Oberaton,talk too much,comforting,worried,uneasy,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",39,Female,White or Caucasian,Bachelor’s degree,,4,66294535a72655a6fd869832,4
2024-05-03 11:10:14,2024-05-03 11:16:58,IP Address,172.58.228.197,100,404,True,2024-05-03 11:16:58,R_5rP3sV3GkPnJqLf,,,,,40.8494,-73.9016,anonymous,EN,I agree to participate.,65cb79a06c4334da38aac2dd,2.821,250.043,300.118,14,once in a blue moon,operation,small talk,playful,worried,fantasizing,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",21,Female,Asian,High school diploma or GED,,8,65cb79a06c4334da38aac2dd,8
