StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,CT&PS4,CT&PS6,CT&PS8,EI1,EI4,EI5,EI9,S&C4,S&C6,S&C8,Guess,Guess_L,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID,default,Score
2024-05-16 10:52:39,2024-05-16 10:58:58,IP Address,67.174.29.111,100,379,True,2024-05-16 10:58:59,R_5ErYI10XjmgKJsD,,,,,28.5504,-81.1833,anonymous,EN,I agree to participate.,5edc0b5819fa7f8ba7567231,1.903,253.206,301.849,29,once in a blue moon,"painless operation ","small talk ",playful,worried,dispirited,playful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,23,Female,Asian,Bachelor’s degree,,6,5edc0b5819fa7f8ba7567231,Low,6
2024-05-16 10:55:05,2024-05-16 11:00:52,IP Address,72.239.135.115,100,347,True,2024-05-16 11:00:53,R_6APNzXsUT8nEFRn,,,,,28.5531,-81.7597,anonymous,EN,I agree to participate.,664618e6f6c113081e97a049,12.148,269.199,300.017,14,once in a blue moon,painless operation,t+a+l+k=,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the Low Performer Group,21,Female,Asian,Bachelor’s degree,,5,664618e6f6c113081e97a049,Low,5
2024-05-16 10:56:26,2024-05-16 11:03:11,IP Address,104.182.177.87,100,405,True,2024-05-16 11:03:12,R_2GEvPOafU2Cnbkq,,,,,30.2423,-97.7672,anonymous,EN,I agree to participate.,6622ac5eeb96ef36c7123167,1.394,206.663,301.151,14,once in a blue moon,,small talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the High Performer Group,24,Female,White or Caucasian,Bachelor’s degree,,7,6622ac5eeb96ef36c7123167,Low,7
2024-05-16 10:51:26,2024-05-16 11:04:01,IP Address,162.201.186.55,100,755,True,2024-05-16 11:04:02,R_3cnm88ZbTdD9FXu,,,,,25.9843,-80.2149,anonymous,EN,I agree to participate.,6127072ecbce58c5df452c58,2.211,135.788,345.946,23,,,,playful,irritated,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the Low Performer Group,,75,Female,White or Caucasian,High school diploma or GED,,3,6127072ecbce58c5df452c58,High,3
2024-05-16 10:56:40,2024-05-16 11:06:43,IP Address,73.40.92.101,100,603,True,2024-05-16 11:06:45,R_52CbwCKl9eIyqCR,,,,,39.018,-77.539,anonymous,EN,I agree to participate.,6644f40c3117b782ed4ff39d,3.661,286.649,300.12,19,Once in a blue moon,operation,small talk,playful,irritated,fantasizing,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the Low Performer Group,,21,Female,Asian,"Some college, but no degree",,6,6644f40c3117b782ed4ff39d,High,6
2024-05-16 11:03:24,2024-05-16 11:10:01,IP Address,167.89.251.109,100,397,True,2024-05-16 11:10:02,R_5YtR6KR9ARgaSnk,,,,,32.749,-96.4629,anonymous,EN,I agree to participate.,63d43839677cd9a315302808,10.442,134.231,300.135,11,Once a blue moon,over,Whisper,playful,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the Low Performer Group,19,Male,Black or African American,"Some college, but no degree",,4,63d43839677cd9a315302808,Low,4
2024-05-16 11:03:20,2024-05-16 11:11:55,IP Address,172.59.177.144,100,515,True,2024-05-16 11:11:56,R_7LkM1j8MD3shOBH,,,,,43.1516,-77.6236,anonymous,EN,I agree to participate.,663a4e1681e0f2cf8c910eb0,10.022,268.735,300.044,29,MOON,overtone,talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,61,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,3,663a4e1681e0f2cf8c910eb0,High,3
2024-05-16 11:05:13,2024-05-16 11:14:10,IP Address,76.31.252.142,100,537,True,2024-05-16 11:14:11,R_6PsZXY0kEncYYaB,,,,,30.0583,-95.6925,anonymous,EN,I agree to participate.,5d5c59e8ca6a070018fb8c5e,18.952,134.93,301.546,11,moonceon,o merto,talk,playful,irritated,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the Low Performer Group,31,Male,White or Caucasian,Associates or technical degree,,2,5d5c59e8ca6a070018fb8c5e,Low,2
2024-05-16 11:09:56,2024-05-16 11:16:50,IP Address,71.201.162.6,100,414,True,2024-05-16 11:16:51,R_2zhV5BJNZ88XYDa,,,,,42.2309,-88.3379,anonymous,EN,I agree to participate.,5e9f138c34d3e40326507588,2.621,178.689,300.154,11,once in a moon,operation,small talk,irritated,worried,fantasizing,aghast,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the High Performer Group,38,Female,Asian,"Some college, but no degree",,3,5e9f138c34d3e40326507588,Low,3
2024-05-16 11:10:10,2024-05-16 11:17:29,IP Address,108.28.99.185,100,439,True,2024-05-16 11:17:30,R_3PHSkYkN66QUHLD,,,,,38.7493,-77.4719,anonymous,EN,I agree to participate.,61496cada4d62f06804fa610,9.097,293.16,300.022,18,Once in a blue moon,Operation,Small talk,playful,worried,fantasizing,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the Low Performer Group,,22,Female,White or Caucasian,Bachelor’s degree,,7,61496cada4d62f06804fa610,High,7
2024-05-16 11:05:24,2024-05-16 11:17:32,IP Address,174.208.45.35,100,727,True,2024-05-16 11:17:33,R_7FRFAMltuBdyCtD,,,,,42.9554,-78.8638,anonymous,EN,I agree to participate.,6638cec62a2c194dbee4e80a,22.587,282.373,300.06,19,Monoceon,Overto,talk,comforting,worried,dispirited,doubtful,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,66,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,3,6638cec62a2c194dbee4e80a,High,3
2024-05-16 11:09:42,2024-05-16 11:18:38,IP Address,73.224.171.200,100,535,True,2024-05-16 11:18:39,R_3OH4witFl34T0q3,,,,,30.3528,-81.7795,anonymous,EN,I agree to participate.,657a3e928a5bd029366a6692,10.7,286.256,300.016,17,once in a moon,correction,talk,playful,irritated,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,65,Female,White or Caucasian,Associates or technical degree,good luck,5,657a3e928a5bd029366a6692,High,5
2024-05-16 11:05:36,2024-05-16 11:19:35,IP Address,108.188.64.41,100,838,True,2024-05-16 11:19:36,R_1bTTz3NrtNek56p,,,,,28.5981,-81.3515,anonymous,EN,I agree to participate.,6476122c3edb0289e7d0efb2,0.271,296.933,300.122,103,more than once,ocheristo,Talk,comforting,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To promote misunderstandings and conflicts,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the Low Performer Group,56,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,2,6476122c3edb0289e7d0efb2,Low,2
2024-05-16 11:11:25,2024-05-16 11:19:42,IP Address,98.242.221.143,100,496,True,2024-05-16 11:19:43,R_1DuruSb3gj0NqMj,,,,,25.9823,-80.1405,anonymous,EN,I agree to participate.,5ec70d2d62e69c157fde4884,2.537,294.257,300.051,31,once in a blue moon,painless operation,small talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the High Performer Group,24,Male,White or Caucasian,Associates or technical degree,,8,5ec70d2d62e69c157fde4884,Low,8
2024-05-16 11:12:02,2024-05-16 11:19:44,IP Address,98.242.140.10,100,462,True,2024-05-16 11:19:45,R_5g7dkYZzuzvTwuv,,,,,26.125,-80.267,anonymous,EN,I agree to participate.,663508c0cd223a44bc85f5f7,49.176,297.906,300.041,85,neocon,overtop,yell,irritated,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,38,Female,Other,High school diploma or GED,,3,663508c0cd223a44bc85f5f7,High,3
2024-05-16 11:14:25,2024-05-16 11:21:34,IP Address,66.214.95.226,100,428,True,2024-05-16 11:21:35,R_5b2wWdWO9fQDt8N,,,,,34.4994,-117.2936,anonymous,EN,I agree to participate.,5e88fe6f9fb1af0009d1294a,5.466,154.794,353.096,12,once upon a moon,operation,small talk,playful,irritated,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,47,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,5,5e88fe6f9fb1af0009d1294a,Low,5
2024-05-16 11:14:47,2024-05-16 11:22:10,IP Address,73.224.97.97,100,443,True,2024-05-16 11:22:11,R_1zPcLTgN2ANEAmR,,,,,30.6215,-81.5914,anonymous,EN,I agree to participate.,655fdcd5ddf0c9decedc6aa1,6.378,215.762,300.026,15,once in a blue moon,overtown,small talk,playful,worried,dispirited,aghast,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,30,Female,Asian,"Some college, but no degree",,6,655fdcd5ddf0c9decedc6aa1,High,6
2024-05-16 11:15:09,2024-05-16 11:25:19,IP Address,173.92.36.111,100,609,True,2024-05-16 11:25:20,R_3TmXCwKAFNOrDSn,,,,,35.3226,-80.6612,anonymous,EN,I agree to participate.,65c14be50ad597a9eb201591,13.916,250.922,300.048,11,once in a blue moon,over,small talk,playful,irritated,fantasizing,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,38,Female,Black or African American,Associates or technical degree,,7,65c14be50ad597a9eb201591,Low,7
2024-05-16 11:19:41,2024-05-16 11:26:48,IP Address,208.102.251.165,100,426,True,2024-05-16 11:26:49,R_2feyRlwgsuRKRFj,,,,,39.0788,-84.7024,anonymous,EN,I agree to participate.,66304be4df26f954ad764f52,1.654,264.499,300.018,15,One in a blue moon,Painless operation,Small talk,playful,worried,uneasy,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,26,Female,White or Caucasian,Bachelor’s degree,,8,66304be4df26f954ad764f52,High,8
2024-05-16 11:20:08,2024-05-16 11:27:17,IP Address,99.129.246.27,100,429,True,2024-05-16 11:27:18,R_15hyDZ9TvhBu9MZ,,,,,43.0213,-85.6064,anonymous,EN,I agree to participate.,65958afd5a45f68375c3ec15,17.997,208.486,300.02,79,Once in a moon,operation,small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,58,Female,White or Caucasian,"Some college, but no degree",,5,65958afd5a45f68375c3ec15,High,5
2024-05-16 11:21:32,2024-05-16 11:28:05,IP Address,99.176.49.234,100,393,True,2024-05-16 11:28:06,R_2rJmGQ9JCHQnoih,,,,,42.5064,-83.4069,anonymous,EN,I agree to participate.,5e8dd293b7dd310583dd2b41,1.866,203.92,300.149,12,Once in a blue moon,Missing links,Small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,59,Female,White or Caucasian,Bachelor’s degree,,6,5e8dd293b7dd310583dd2b41,Low,6
2024-05-16 11:22:39,2024-05-16 11:29:35,IP Address,73.51.44.3,100,416,True,2024-05-16 11:29:35,R_3SaeWgrgn1C9Sc9,,,,,41.9025,-87.6726,anonymous,EN,I agree to participate.,664595c663d73d4c31647e63,3.469,298.379,300.079,22,Once in a blue moon,Painless operation,small talk,comforting,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the Low Performer Group,,26,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,6,664595c663d73d4c31647e63,High,6
2024-05-16 11:24:05,2024-05-16 11:31:30,IP Address,70.121.207.193,100,445,True,2024-05-16 11:31:31,R_1MbeMoSywujRn2I,,,,,29.5443,-98.5499,anonymous,EN,I agree to participate.,65d12ecd4cc6c59fac41ac7d,2.072,297.759,300.019,14,Once in a blue moon,hand over to,small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",,Compete against the Low Performer Group,26,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,5,65d12ecd4cc6c59fac41ac7d,Low,5
2024-05-16 11:24:46,2024-05-16 11:31:38,IP Address,24.47.133.135,100,411,True,2024-05-16 11:31:38,R_2NPByRh6Di7JrXH,,,,,40.871,-73.051,anonymous,EN,I agree to participate.,653ac482f1c82326343e55f8,7.118,257.672,300.056,15,once in a blue moon,operation,small talk,playful,worried,uneasy,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the Low Performer Group,,51,Male,White or Caucasian,Bachelor’s degree,,8,653ac482f1c82326343e55f8,High,8
2024-05-16 11:26:02,2024-05-16 11:32:17,IP Address,173.69.44.218,100,374,True,2024-05-16 11:32:18,R_53V50yg6Al4Xo2U,,,,,41.874,-71.3844,anonymous,EN,I agree to participate.,60f942bbd779c8d0f7cc3a99,3.901,161.94,300.122,9,Once in a blue moon.,,Small talk.,playful,worried,uneasy,doubtful,Speaking confidently,To understand and respect cultural differences,"""I appreciate your honesty but let's ignore what's bad and focus on what's good. What did you like about it?""",Compete against the High Performer Group,,39,Female,White or Caucasian,High school diploma or GED,,5,60f942bbd779c8d0f7cc3a99,High,5
2024-05-16 11:25:35,2024-05-16 11:32:47,IP Address,212.32.111.56,100,431,True,2024-05-16 11:32:48,R_52sFlnoBIN2TcSY,,,,,37.751,-97.822,anonymous,EN,I agree to participate.,663b1d689aa0798a42c49d90,0.465,266.422,300.124,20,bluemoon,operation,small talk,comforting,sarcastic,dispirited,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""I appreciate your honesty but let's ignore what's bad and focus on what's good. What did you like about it?""",,Compete against the Low Performer Group,34,Female,White or Caucasian,Bachelor’s degree,it is really enjoyable  to do this study,4,663b1d689aa0798a42c49d90,Low,4
2024-05-16 11:23:46,2024-05-16 11:33:30,IP Address,68.173.155.255,100,583,True,2024-05-16 11:33:30,R_5irCiKz7RKKKRSF,,,,,40.7597,-73.981,anonymous,EN,I agree to participate.,60d3370ae32bc81e9f0c6279,39.027,185.088,300.137,11,Monsoon,Over to you,Talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",Compete against the High Performer Group,,61,Female,White or Caucasian,Bachelor’s degree,,4,60d3370ae32bc81e9f0c6279,High,4
2024-05-16 11:26:41,2024-05-16 11:33:47,IP Address,76.78.246.100,100,425,True,2024-05-16 11:33:48,R_7g0lJvY1VcGBjeh,,,,,38.5559,-121.7391,anonymous,EN,I agree to participate.,65e0bfb71c7004790598da5e,1.459,108.81,300.016,14,once in a blue moon,painless operation,"small talk ",playful,worried,uneasy,playful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the Low Performer Group,20,Female,Asian,"Some college, but no degree",,6,65e0bfb71c7004790598da5e,Low,6
