"","ResponseId","PROLIFIC_PID","gender","age","Guess","ethnicity","education","QID7_Id"
"25","R_3EXOgjyKaK23Moh","574450f63fdc69000e09555d","Female",48,10,"White or Caucasian","Some college, but no degree","F_3nd3SeNdJ4L8Bt8"
"26","R_1NEzJcshLTyjRc7","61281adc2801831deef9a86d","Female",32,4,"White or Caucasian","Associates or technical degree","F_Y084SesxxMFrK1j"
"27","R_1DtZh1tANrkmIGJ","627e76cbf7254a15bf0f09b8","Female",22,7,"White or Caucasian","Bachelor’s degree","F_2aWUU2D0gW9Dtt0"
"28","R_3QRuS8V6Z4hhLKw","5aeb6714eb6e780001b1897c","Female",33,7,"White or Caucasian","Bachelor’s degree","F_bDflVSCwQ5T32YV"
"29","R_3jZfmjYU5jvyaGI","63fcf7251ace1792db0941b0","Female",67,7,"White or Caucasian","High school diploma or GED","F_spsKbfkPlT3eM8N"
"30","R_3jVYE1fNxAivlE5","57509b61d6edf00006ff7fcb","Female",57,6,"White or Caucasian","Some college, but no degree","F_3Gdr9o0jIvHrGWs"
"31","R_eURTpVTJqLjgLoB","6171dc9f96de917908c8bb67","Female",21,7,"White or Caucasian","Some college, but no degree","F_8j4noxw04iQGn61"
"32","R_2E5AhKcFqWqiv3o","5ee509a09776d122a88d2ca4","Female",25,3,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1gcqHGx99dsU613"
"33","R_2pWFHqOIA1PiA12","63bbc8ba5520732c211a6ae8","Female",49,2,"White or Caucasian","Associates or technical degree","F_3luxiABX8flWKck"
"34","R_3sj3LEw5BVFGqaE","5ff8b291840bed124061d389","Female",41,6,"White or Caucasian","Bachelor’s degree","F_22PRBS7sAKesi1e"
"35","R_2zNlzxo4QTa88I0","643f1d3c24bc4a2d8e44a0ff","Female",57,8,"White or Caucasian","Some college, but no degree","F_31vFp1Dx1utyFVT"
"36","R_10N3IFywUEpUYlv","5dc6e8472865554f0289bb6d","Female",31,7,"White or Caucasian","Some college, but no degree","F_3n9mtYUejGwTCKm"
"37","R_25u2TF1RJr0a0H8","6109e6596c52fa1f853b16c2","Female",33,5,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2pVo0aEud3wtOS8"
"38","R_3OoFieFOT57zTFD","612ba49c020f07311c602c0c","Female",22,4,"White or Caucasian","Some college, but no degree","F_2zRRqU6SHcUFaBd"
"39","R_ZJfdoQhTPZODAml","63e40d7b1a88578e3c993478","Female",32,8,"Black or African American","High school diploma or GED","F_vTawvGNAM9DTbYR"
"40","R_1LopF1LyqhWcFmI","5f56b56b0fa1b412025708cf","Female",33,7,"White or Caucasian,Other","Bachelor’s degree","F_2cqQJAkDBvFa7xu"
"41","R_1Cd2zfDDqcze4IL","616ca5967d36f0000bd47b78","Female",35,8,"Asian","Bachelor’s degree","F_2UWLFxoMrEDwbGY"
"42","R_3m1YFtPzNyVGlPb","5fd7f08920e71c0f734ee097","Female",55,5,"White or Caucasian","Bachelor’s degree","F_eOPbcWdbr6f9o89"
"43","R_ZxAutIxyPp3qwx3","62e05a40c77214b0772d5596","Female",60,8,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_BFLcss9x2Tvi9IR"
"44","R_2zc3TqkvzsBzZHr","5ac5207ee1546900019c0279","Female",39,7,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1pMyxId534OOBIU"
"45","R_2ZDncgyFTIjQmiq","5f85b1e8b33c650518e25d22","Female",45,6,"White or Caucasian","Bachelor’s degree","F_3QK7h1gq6NJYf86"
"46","R_8o9brw24jXD2PNn","60bd186e1d5e1d11f128f538","Female",28,4,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1QsVprSgmipnTXa"
"47","R_21Fy274TNe10x8e","61082fa8eef802b086a5c248","Female",24,6,"White or Caucasian","Bachelor’s degree","F_2D79Z7IMYok2EJL"
"48","R_eF3tjc7x3qqUSQN","5723d6abccc7cc00086bb0d2","Female",31,6,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2sbByozzEoFAlYg"
"49","R_XilxtJv54hRdrZ7","63921f485b7f7955d18ce694","Female",57,6,"White or Caucasian","Associates or technical degree","F_djxWmICEq9IbIgF"
"50","R_308YGfyvS4ZSTnW","644150e6b846265e5d1c1d00","Female",31,3,"White or Caucasian","High school diploma or GED","F_30db916mTyjk39D"
"51","R_2cjB2Q9ht7z2cT0","5f1319143fdcd700091a41d4","Female",33,4,"White or Caucasian","Bachelor’s degree","F_3fSOlW9p8N8ewto"
"52","R_1n1izJYsknRMsF2","5dd286042c5c1028d1725b77","Female",52,10,"White or Caucasian","Some college, but no degree","F_zev0nx0Xbza9t7z"
"53","R_3G8uzp9N173NYsV","604d4631e3f4a7fdf6050653","Female",21,5,"White or Caucasian","Some college, but no degree","F_3lxitubjKJvf8Yz"
"54","R_2qh3vtCvPYXa80o","5e13e0232d2185a20d9c3b4f","Female",29,7,"Black or African American","Bachelor’s degree","F_2X0AtHS0T9w4W6p"
"55","R_rfGYETnGxHYWI01","5dd3cfb7b103ee3b428185b2","Female",55,8,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_3GdFAV4fIewANfW"
"56","R_217Jfr4WfMw9XZm","5ee142b292607215593aa9af","Female",54,8,"White or Caucasian","Bachelor’s degree","F_12JV7zcZsUeAkNI"
"57","R_3HCzok1gK1p5Nwl","613fb653aa6f033cb05cc587","Female",22,3,"White or Caucasian","Bachelor’s degree","F_xh0FG9fPtcEcNyx"
"58","R_2uNAjn43tyJOGFz","63f02c686a43074bf1a16dc8","Female",28,5,"Black or African American","Bachelor’s degree","F_3GpQNZQJOly5LsW"
"59","R_3nGx4Z0Nm0sxEy6","5484739ffdf99b0379939c95","Female",34,4,"White or Caucasian","Some college, but no degree","F_cGwjIv1Me8Foy6R"
"60","R_3nGYqkUPf4TzWnp","63d7ec164d40c184be89bf34","Female",32,5,"White or Caucasian","Bachelor’s degree","F_RdYd39PfJo9Hdq9"
"61","R_2R7YANm4gSN0M72","5e3c79de24984505f37d3903","Female",36,8,"White or Caucasian","Some college, but no degree","F_3q8ndAoNJ0R4Wbo"
"62","R_1nUikrRpqRs4cqm","636150594cc2bf3d89365438","Female",23,5,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2b1WvETvZdlBk9L"
"63","R_1Ig5oDvYgsMMS04","63d40e2ebf8618778fa289f9","Female",41,4,"White or Caucasian","Bachelor’s degree","F_rrquzuXUWb2McPT"
"64","R_2TMFne03UenPu6m","610ab5a4cbc548edb197aaf1","Female",62,9,"White or Caucasian","Associates or technical degree","F_DeZPoEYe2paJTBn"
"65","R_bl2tXKHI2f2xmed","570d891d42a1db000fc65b4d","Female",46,7,"White or Caucasian","Some college, but no degree","F_32UQWIzcYNUchmQ"
"66","R_W1CZpof7MVacv5L","6307a5e6e8a35c5eaeddb421","Female",65,6,"White or Caucasian","Some college, but no degree","F_2SJHPgJExaZV9dD"
"67","R_1mLD7zUy5H9IzWj","5ab8026547a9f7000153a324","Female",35,7,"White or Caucasian","Bachelor’s degree","F_2co5uEIZZFLMyAO"
"68","R_3HOGylnnsISTww5","612d5aec388ae7382c6d9d59","Female",36,8,"White or Caucasian","Some college, but no degree","F_1IygysIWEzMiCyp"
"69","R_2qxuVfU2yOvyMR5","6110ddd172ac2b9522e22511","Female",20,5,"Asian","Bachelor’s degree","F_2qDb7rlgGSBrGaB"
"70","R_AtlczUWY4FG6hNf","5deaac8dff7f711d9032fa94","Female",32,6,"White or Caucasian","Bachelor’s degree","F_aWOW8dtf77NGDUR"
"71","R_CmFP0uc1xRgE6zf","612e9fb57400639a88cfae33","Female",27,6,"White or Caucasian","Bachelor’s degree","F_bCukQEaY4CpLyeZ"
"72","R_w0Jb388w9LcHVIJ","565bff58c121fe0005fc390d","Female",42,3,"Black or African American","Associates or technical degree","F_3EiETVaiV7uiVLw"
"73","R_5d4tFWGOadBfRsJ","6101e7f68ba54befff1550d1","Female",22,5,"White or Caucasian","Bachelor’s degree","F_12r0RshbNJLfE1Z"
"74","R_Xzdzpu6M8Jjtcnn","5cb882d33f0af9000159e00f","Female",60,4,"White or Caucasian","High school diploma or GED","F_2A0XS21S1xFDhcf"
"75","R_1M6U7ReMCHfmK9X","6111af1630b35a24a8476060","Female",31,5,"White or Caucasian","Some college, but no degree","F_2zNmLuwPqX4SYJF"
"76","R_d5Sl8g670RqrvP3","5dbc46b70338051eb7999760","Female",45,6,"White or Caucasian","Bachelor’s degree","F_XsKLe8K7s6v7XFL"
"77","R_3JrUK4FqxZZF8St","6438744a83a13dc8eb1ef506","Female",50,8,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1l45HlWyABVMmUO"
"78","R_2Yx2UNVNkEgqMH2","610059721070d369a4672eb0","Female",28,5,"White or Caucasian","Bachelor’s degree","F_2U4yLeE4ig5Tlm4"
"79","R_2QssrCwDbI2x2EH","5ddc3ccd108b67ba3b7efa5a","Female",53,8,"White or Caucasian","Some college, but no degree","F_31LNY1ZNgOPHAhT"
"80","R_21t7iIvnUEwv48r","5a6f60e4efd3a7000120f057","Female",34,8,"White or Caucasian","Bachelor’s degree","F_2WP5vO5hQ8fqX32"
"81","R_9HMnDZ8j0sMCi1H","5edceace34669404354ab615","Female",47,5,"White or Caucasian","Associates or technical degree","F_AczV8tMxnVgiQh3"
"82","R_1dhGO2g9ltGTeFG","5a65daf2c0d836000107d1ba","Female",42,8,"White or Caucasian","Some college, but no degree","F_1KlmPWco7yo9h1L"
"83","R_1IrVk0DSZRMKU7i","61004f4069555d737ceab14c","Female",34,5,"White or Caucasian","Bachelor’s degree","F_pGhLnbwBeXlrfBT"
"84","R_1qUvJk1n5txpxHj","62d59a066ee263bb659aa445","Female",69,9,"White or Caucasian","Some college, but no degree","F_2zUPd9YuIKJ6mHG"
"85","R_3Ra3QHJ6aYsoXxA","59d0ec2446447f00011f0254","Female",40,5,"American Indian/Native American or Alaska Native","High school diploma or GED","F_BDFXHQ0dXTUXbq1"
"86","R_306N5lU7xY07tCR","5de2d535db424d313cb383f8","Female",24,9,"White or Caucasian","Bachelor’s degree","F_3Rg2AjlBD9J7Epr"
"87","R_8jpdnbOX4zH6jaF","605220735560745cf0a16a80","Female",43,5,"White or Caucasian","Bachelor’s degree","F_AjkW0hNtl913rz3"
"88","R_3fVjNGqspdnM5gT","63bf3247bf3b5ebd734157ee","Female",62,8,"White or Caucasian","Associates or technical degree","F_BET7hov8aDkiZOx"
"89","R_20Yje4dFptAQrDl","6404f184dffe93798dca0f5f","Female",59,10,"White or Caucasian","High school diploma or GED","F_2qat8eEGitOzdNk"
"90","R_p49dcuos49yaMRX",NA,"Female",19,6,"Other","Some college, but no degree","F_1mrqtqp6pXX5bRw"
"91","R_DeFvz8z1jGHfJYd","5fd53f4bdf465e17daba78c3","Female",37,9,"White or Caucasian","High school diploma or GED","F_3PuXIED1rTFJX9h"
"92","R_3QJCgfIlJsmCpT9","627e6dad6595f6c2f2f00a1f","Female",51,5,"White or Caucasian","Bachelor’s degree","F_1l4RdX9meeYIQHv"
"93","R_BWJBhlwn4Q09Zwl","63615bb6922c170dc50b434a","Female",36,3,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_W8a4AC7Hcq5au7n"
"94","R_3erSeXBAb4Fazy0","5a282206b279aa0001b0e002","Female",37,5,"White or Caucasian","Associates or technical degree","F_9BQ4IXgnLqB3oRj"
"95","R_1RZLz24ssFZFwn7","60bc18bb8b971280ef13060c","Female",45,8,"Black or African American","Bachelor’s degree","F_1dh5rEyzeewfHUq"
"96","R_1dtydDNVbxnEoui","5dd5fdd811b0bd5ac65a9b3a","Female",51,10,"White or Caucasian","Some college, but no degree","F_2TIfZib7lh6SlEK"
"97","R_1ezVZnGjhoS8t9x","5d94d2ab9ac1cb001775fac2","Female",27,8,"White or Caucasian","Some college, but no degree","F_2fkbeyEnBnr5OvX"
"98","R_2Tt00X4K6Ce2Dkz","59cf062758b71700019882d4","Female",30,6,"White or Caucasian","Some college, but no degree","F_216tuE7djcP5pdf"
"99","R_2aKaHFsPmeJmLFk","62b055b8af4eda974466ad0d","Female",38,8,"White or Caucasian","Some high school or less","F_1EYjR4qjVDKj7mz"
"100","R_21mp2IdngVWDUzl","5d1ad6202ba4ad0001d623be","Female",27,5,"White or Caucasian","High school diploma or GED","F_2EbqxUIxsoZh86t"
"101","R_9nstCJHSq84hNDj","643cad41791d0efb8596d529","Male",63,8,"Black or African American","Bachelor’s degree","F_3RxRlY3iivY4cYe"
"102","R_0iDo3VSb6AUQWKl","5f179bd584e8e802ef9c187d","Male",50,5,"White or Caucasian","Associates or technical degree","F_2ePD2jGJu5LQOIU"
"103","R_3KBnO99gxMNfrK1","59d662aa0c0c7100015b9af6","Male",40,5,"Asian","Bachelor’s degree","F_10YiUUKrh7JgI30"
"104","R_4JeW4q3KKQZk2lP","614e2446523bb49af662fb62","Male",30,4,"White or Caucasian","High school diploma or GED","F_1NaaAojAuyPxT8k"
"105","R_2rryD1fF0F40sBx","5a89cc2c000dab00018cbd38","Male",34,5,"White or Caucasian","Associates or technical degree","F_1jWgE6Xc6XpSFIJ"
"106","R_ZrcTD9u7omxOnwB","63ff478aec95d54674669329","Male",34,5,"White or Caucasian","Bachelor’s degree","F_bdz8kxPKvIwQFtT"
"107","R_1rqs8gk4Sl3bicd","60f998b6c4b98974b766eb98","Male",28,4,"Other","Some college, but no degree","F_6n8yU5rvBdx8mWJ"
"108","R_2PimSEDKp78dbyK","5e7227c4e9253c1509f76f96","Male",56,3,"White or Caucasian","Bachelor’s degree","F_3ey3IwDsQAfRZnr"
"109","R_1LFOh2Wp5pONFW5","558955ebfdf99b6bd06016c9","Male",32,5,"White or Caucasian","Bachelor’s degree","F_3ksP8jpBDlWChAi"
"110","R_plu254ukf4eifQt","59e7477e3e4b5a00016aa4d2","Male",58,5,"White or Caucasian","Bachelor’s degree","F_1gpywMhp6rK6IUY"
"111","R_3spLa8odzNYHS8h","600dcdff34fef66077146d8e","Male",25,5,"White or Caucasian","Bachelor’s degree","F_1LNbhp7By5V2P9z"
"112","R_Wflhdd8cXvrH5xT","6031ceae5e466a1647a29da7","Male",40,5,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2bIBgJo4SNw0OGt"
"113","R_2Xhw2xllXc1llLn","5f0e50c3a8d93519188a7525","Male",38,7,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_3CNjf3SLA9bSheU"
"114","R_12bS0CBAYsLxta0","5f1dc8e9a351ad07a95854c1","Male",27,5,"White or Caucasian","Bachelor’s degree","F_3OdjcZTwp85swwu"
"115","R_WqW2Vgq1dDhG5Z7","63d15987e86a66f05d482526","Male",37,8,"White or Caucasian","Some college, but no degree","F_3qwohznQZAj3hNZ"
"116","R_3CWrQ4k1lItO4MV","62d882e6a4564ff6bbeef874","Male",33,3,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2R4Vx6rPeJ8QCL6"
"117","R_3iQnVWUib6HFXU1","5df441f8dc853530e500adc1","Male",25,3,"White or Caucasian","Bachelor’s degree","F_3mledP9WHL1nk2Y"
"118","R_33vcKcbCUyrHmug","6151c93f62e26ed6871a5fbd","Male",50,7,"White or Caucasian","Bachelor’s degree","F_1hGB5DuTOaOCGsE"
"119","R_2sRtPgkk38RU6h4","616c4a95398b06c2c85b32ed","Male",24,4,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1o0Y2nbMjXZ1Jls"
"120","R_25ygPKWHrmi6bqK","62728d9afbb36631896f3bcb","Male",41,8,"White or Caucasian","Bachelor’s degree","F_2VlvJu7bcKL3C8U"
"121","R_3mjC2EqOtVx2NPH","5fd80a7f7100cd12eb473a9f","Male",52,6,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1LwiPfy6dIh9SRq"
"122","R_DUjbfMUKspqn8Q1","600735ac42969f1dbea8a16f","Male",31,7,"White or Caucasian","Associates or technical degree","F_DcawXnxN2Pu1s6B"
"123","R_bIOZBhPypkYx9IZ","5fde6c73ad8fba6069f139ed","Male",24,3,"White or Caucasian","Bachelor’s degree","F_10oejnEV2ERi5HX"
"124","R_2QPuWDTao5bYUOs","6294c9a9c673efce2f6528dc","Male",44,8,"White or Caucasian","Bachelor’s degree","F_Qb9ajJaV29FlfHj"
"125","R_2ZOaXkMQLLQzcz9","63d418d4229ed6c0712ce5bb","Male",28,4,"White or Caucasian","Some college, but no degree","F_2tm9Iv45wzDeg7l"
"126","R_1Gvwfj0tmD4OmrX","5a286558564bdf00016463fc","Male",34,9,"White or Caucasian","Bachelor’s degree","F_1K1t4tjbmrfAK47"
"127","R_2DLXea0P180B94E","62950530ff3a463d536e764d","Male",33,3,"White or Caucasian","Bachelor’s degree","F_2eOQV6PXKbOAo65"
"128","R_0wuoVupdGfKEVsl","63d40e1748df54e627f3022b","Male",43,7,"Other","Bachelor’s degree","F_1LC3xa0eqEaRlyU"
"129","R_2rkZUgBEIcswR4i","566a17d07da0350012b3e876","Male",53,7,"White or Caucasian","High school diploma or GED","F_2YEQ2B2ewOLSors"
"130","R_2sc0qTES7czTgMb","63d148b2255821a940922c1a","Male",42,5,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_21FycR1TezOTMM1"
"131","R_33dsn8NZ8Q2p7d9","62aa265d938c612f7c8361e3","Male",22,3,"White or Caucasian","Bachelor’s degree","F_SN1CWjSfGlcIMsV"
"132","R_6sTyuLmgecp233X","5d3522b6eac3d50017df02cb","Male",39,7,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_3FLPTD3bNguBklU"
"133","R_1jpsTrT9ImO4nnC","63e52478ebc8e17c77aacaa9","Male",27,3,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1ghdLASNWhsSnP5"
"134","R_28IGMTF32o7roXe","5a69629c35f26b0001499826","Male",31,4,"White or Caucasian","Bachelor’s degree","F_2OUPUqsP5PYUw8t"
"135","R_2P4FiaJAzZ0UcHJ","5dee8ee31255595293a9906b","Male",34,4,"White or Caucasian","Associates or technical degree","F_2flbSZ3386sePEL"
"136","R_2yr7hoQOkEWMbUx","6288fcde51a372bff1785173","Male",28,7,"White or Caucasian","Bachelor’s degree","F_3iR6nmcIs3N6lbZ"
"137","R_1pPZov2UHdRCGB7","63e589c58e069e904b031beb","Male",36,3,"White or Caucasian","Bachelor’s degree","F_9slh31DfkNT7Oh3"
"138","R_29prNqa4CpfMxzv","612d20ea1043719545f90f62","Male",37,9,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2DOIr8Hxz10zA5n"
"139","R_xhdiNENBoOE4wXn","5c663cd56fdc87000162e255","Male",25,6,"White or Caucasian","Some college, but no degree","F_2bNMbNUHwOsjSfQ"
"140","R_1Lp9i2r13E9mDEK","63fcb1bc5430196e4e652913","Male",49,9,"White or Caucasian","Bachelor’s degree","F_3fjBNr5YrkSrSP3"
"141","R_2Y3b2XhaI9vNwkA","5f4beb12d01b150d4fe1d9f3","Male",32,8,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_12awRKxduNjMyEk"
"142","R_3Hqus5adNA7Tmls","558afa29fdf99b7dfdbac1c6","Male",31,4,"White or Caucasian","Bachelor’s degree","F_3P7QMxuPXNg4nVd"
"143","R_TnKc9kmMVhjRzCp","5c02c3b20eb9aa00010dc4cc","Male",22,6,"White or Caucasian","Bachelor’s degree","F_2y0ZAHSnXimOSw1"
"144","R_3oLstxf9jmzYG69","5c479e4cdeaef300017e5c9c","Male",32,5,"Other","High school diploma or GED","F_p6GtSWtu4Pa3JDP"
"145","R_2S1aAunKT9BCHDU","5c748b9188fdc20017c60436","Male",27,8,"White or Caucasian,Asian","Bachelor’s degree","F_UT1tt9RkNiudDXz"
"146","R_3ReHJy95j3DILp1","611e6704567a73202f78bef7","Male",41,7,"White or Caucasian","Bachelor’s degree","F_25EoTM2h4cFmj5U"
"147","R_tWgAAx2BHKmmE6Z","643ac6fbde0ec215743bc625","Male",55,1,"Black or African American","Bachelor’s degree","F_3qJsykkAPnjfcV4"
"148","R_a9IeCUPECXNxMiZ","62d86c63e2966588c71b9ff2","Male",43,6,"White or Caucasian","Some college, but no degree","F_3HudzLjXZAzWqJw"
"149","R_2zhZpJTpHVkZvhc","61087e4fc006ee7d6be38641","Male",28,8,"White or Caucasian","Bachelor’s degree","F_3G0xHm2ntQIYLtA"
"150","R_6EGmIpnBYln7Kff","54d2c4e2fdf99b2c319a8cf6","Male",45,3,"White or Caucasian","Bachelor’s degree","F_3fpoQCqhnavxk0V"
"151","R_24w4jDVyOdKWwzs","5ade0203066c510001d42abf","Male",42,6,"White or Caucasian","Bachelor’s degree","F_YXHHH4EA6MT8eiZ"
"152","R_1mXEr3SXKsY8NKu","62c63362e7342ad8be294866","Male",42,10,"White or Caucasian","Some college, but no degree","F_saRNtG3Voy3wMud"
"153","R_3gNR4P6ZCUQkKNP","63f4021039d138e8425201c7","Male",67,7,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2P8dAbbylEFAIIv"
"154","R_6L4S35nsxt0SYYp","642b13588b14d970fd232575","Male",25,10,"Black or African American","Some college, but no degree","F_1k0T4yHXh6oltUO"
"155","R_3fxbSxTmEgQXVUh","62fd17440d5147b43183b0aa","Male",55,4,"White or Caucasian","Bachelor’s degree","F_25sXyX3UPSCmm26"
"156","R_eWCBjN05nINiEYp","5bd8a00a96b35e0001679819","Male",43,7,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1hJZqTl8MA7HPUq"
"157","R_3iRzVHEOYEBkprl","6286f7e85258b1fba2cd6f0d","Male",31,10,"White or Caucasian","Associates or technical degree","F_Zz6Ve5cC7HcBidr"
"158","R_esroVAXpFekMtCp","6361b032a20001fc86b0ff1b","Male",38,5,"White or Caucasian","Bachelor’s degree","F_3scAHdnVWjYAWT7"
"159","R_3R2c46UQAeopIAh","63ed00d9a442d349cd6b2a4e","Male",29,6,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1CecDFT0KKP76GX"
"160","R_334o3Au87ujfXCd","5ee264fd75927e71d7a6bd5c","Male",50,5,"White or Caucasian","Bachelor’s degree","F_2WINUPBCKOdHz6J"
"161","R_5bWQDI071NkqPQd","643c8b9e084ad254bf9a0645","Male",66,9,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2dG79BQ86EYC6xy"
"162","R_Rl6k6G3WXUYKiK5","558823c2fdf99b318cb4224b","Male",33,9,"White or Caucasian","Bachelor’s degree","F_3ESy6vi6DegIdJX"
"163","R_1ibql4idSgVawJS","5eb29a3db97d6b0008d24a1a","Male",46,5,"White or Caucasian","Bachelor’s degree","F_3JlAQMDyJYDbkEt"
